a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
41,2,41,25,,,,,,brute,4 4 4,,,minion_nometeor,7 7 7,,,,
42,2,42,30,,,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,7 7 7,,,locust,1 1 1
43,2,43,35,,,,,,brute,4 4 4,,,minion_nometeor,7 7 7,,,,
44,2,Tier 12,40,,,,,,brute,4 4 4,seeder,11 11 11,,,elite,3 3 3,locust,1 1 1
45,2,45,45,,,,,,brute,4 4 4,,,,,,,,
46,2,46,50,,,,,,brute,4 4 4,seeder,11 11 11,,,,,locust,1 1 1
47,2,47,55,,,,,,brute,4 4 4,,,,,,,,
48,2,Tier 13,60,18,3,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
49,2,49,65,18,3,,,,brute,8 8 8,,,minion_nometeor,4 4 4,,,,
50,2,50,70,18,3,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,,,locust,1 1 1
51,2,51,75,18,3,,,,brute,8 8 8,,,minion_nometeor,4 4 4,,,,
52,2,Tier 14,80,18,3,,,,brute,8 8 8,seeder,8 8 8,,,elite,2 2 2,locust,1 1 1
53,2,53,85,18,3,,,,brute,8 8 8,,,,,,,,
54,2,54,90,18,3,,,,brute,8 8 8,seeder,8 8 8,,,,,locust,1 1 1
55,2,55,95,18,3,,,,brute,8 8 8,,,,,,,,
56,2,Tier 15,100,18,3,,,,,,seeder,8 8 8,minion_nometeor,8 8 8,elite,2 2 2,locust,1 1 1
57,2,57,105,18,3,,,,,,,,minion_nometeor,8 8 8,,,,
58,2,58,110,18,3,,,,,,seeder,8 8 8,minion_nometeor,8 8 8,,,locust,1 1 1
59,2,59,115,18,3,,,,,,,,minion_nometeor,8 8 8,,,,
60,2,Tier 16,120,18,3,,,,brute,8 8 8,,,minion_nometeor,8 8 8,elite,2 2 2,locust,1 1 1
61,2,61,125,18,2,,,,brute,8 8 8,,,minion_nometeor,8 8 8,,,,
62,2,62,130,18,2,,,,brute,8 8 8,,,minion_nometeor,8 8 8,,,locust,1 1 1
63,2,63,135,18,2,,,,brute,8 8 8,,,minion_nometeor,8 8 8,,,,
64,2,Tier 17,140,18,2,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
65,2,65,145,18,2,,,,brute,8 8 8,,,minion_nometeor,4 4 4,,,,
66,2,66,150,18,2,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
67,2,67,155,18,2,,,,brute,8 8 8,,,minion_nometeor,4 4 4,,,,
68,2,Tier 18,160,18,2,,,,brute,12 12 12,seeder,4 4 4,,,elite,2 2 2,locust,1 1 1
69,2,69,165,18,2,,,,brute,12 12 12,,,,,,,,
70,2,70,170,18,2,,,,brute,12 12 12,seeder,4 4 4,,,elite,2 2 2,locust,1 1 1
71,2,71,175,18,2,,,,brute,8 8 8,,,,,,,,
72,3,Tier 19,0,18,1,,,,,,,,minion_nometeor,16 16 16,elite,2 2 2,locust,1 1 1
73,3,73,5,18,1,,,,,,,,minion_nometeor,16 16 16,,,,
74,3,74,10,18,1,,,,,,,,minion_nometeor,16 16 16,elite,2 2 2,locust,1 1 1
75,3,75,15,18,1,,,,,,,,minion_nometeor,16 16 16,,,,
76,3,Tier 20,20,18,1,,,,,,seeder,16 16 16,,,elite,2 2 2,locust,1 1 1
77,3,77,25,18,1,,,,,,seeder,16 16 16,,,,,,
78,3,78,30,18,1,,,,,,seeder,16 16 16,,,elite,2 2 2,locust,1 1 1
79,3,79,35,18,1,,,,,,seeder,16 16 16,,,,,,
80,3,Tier 21,40,18,1,,,,brute,16 16 16,,,,,elite,2 2 2,locust,1 1 1
81,3,81,45,18,1,,,,brute,16 16 16,,,,,,,,
82,3,82,50,18,1,,,,brute,16 16 16,,,,,elite,2 2 2,locust,1 1 1
83,3,83,55,18,1,,,,brute,16 16 16,,,,,,,,
84,3,Tier 22,60,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,elite,2 2 2,locust,1 1 1
85,3,85,65,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,,,,
86,3,86,70,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,elite,2 2 2,locust,1 1 1
87,3,87,75,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,,,,
88,3,Tier 23,80,18,1,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
89,3,89,85,18,1,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,,
90,3,90,90,18,1,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
91,3,91,95,18,1,,,,brute,8 8 8,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,,
92,3,Tier 24,100,18,1,,,,brute,9 9 9,seeder,3 3 3,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
93,3,93,105,18,1,,,,brute,9 9 9,seeder,3 3 3,minion_nometeor,4 4 4,elite,2 2 2,,
94,3,94,110,18,1,,,,brute,9 9 9,seeder,3 3 3,minion_nometeor,4 4 4,elite,2 2 2,locust,1 1 1
95,3,95,115,18,1,,,,brute,9 9 9,seeder,3 3 3,minion_nometeor,4 4 4,elite,2 2 2,,
96,3,Tier 25,120,18,1,,,,brute,10 10 10,seeder,3 3 3,minion_nometeor,3 3 3,elite,2 2 2,locust,1 1 1
97,3,97,125,18,1,,,,brute,10 10 10,seeder,3 3 3,minion_nometeor,3 3 3,elite,2 2 2,,
98,3,98,130,18,1,,,,brute,10 10 10,seeder,3 3 3,minion_nometeor,3 3 3,elite,2 2 2,locust,1 1 1
99,3,99,135,18,1,,,,brute,10 10 10,seeder,3 3 3,minion_nometeor,3 3 3,elite,2 2 2,,
100,3,Tier 26,140,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,3 3 3,elite,2 2 2,locust,1 1 1
101,3,101,145,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,3 3 3,elite,2 2 2,,
102,3,102,150,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,3 3 3,elite,2 2 2,locust,1 1 1
103,3,103,155,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,3 3 3,elite,2 2 2,,
104,3,Tier 27,160,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,elite,2 2 2,locust,1 1 1
105,3,105,165,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,elite,2 2 2,,
106,3,106,170,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,elite,2 2 2,locust,1 1 1
107,3,107,175,18,1,,,,brute,12 12 12,seeder,2 2 2,minion_nometeor,2 2 2,elite,2 2 2,,
108,4,Tier 28,0,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,2 2 2,elite,3 3 3,locust,1 1 1
109,4,109,5,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,2 2 2,elite,3 3 3,,
110,4,110,10,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,2 2 2,elite,3 3 3,locust,1 1 1
111,4,111,15,18,1,,,,brute,11 11 11,seeder,2 2 2,minion_nometeor,2 2 2,elite,3 3 3,,
112,4,Tier 29,20,18,1,,,,brute,12 12 12,seeder,1 1 1,minion_nometeor,2 2 2,elite,3 3 3,locust,1 1 1
113,4,113,25,18,1,,,,brute,12 12 12,seeder,1 1 1,minion_nometeor,2 2 2,elite,3 3 3,,
114,4,114,30,18,1,,,,brute,12 12 12,seeder,1 1 1,minion_nometeor,2 2 2,elite,3 3 3,locust,1 1 1
115,4,115,35,18,1,,,,brute,12 12 12,seeder,1 1 1,minion_nometeor,2 2 2,elite,3 3 3,,
116,4,Tier 30,40,18,1,,,,brute,13 13 13,seeder,1 1 1,minion_nometeor,1 1 1,elite,3 3 3,locust,1 1 1
117,4,117,45,18,1,,,,brute,13 13 13,seeder,1 1 1,minion_nometeor,1 1 1,elite,3 3 3,,
118,4,118,50,18,1,,,,brute,13 13 13,seeder,1 1 1,minion_nometeor,1 1 1,elite,3 3 3,locust,1 1 1
119,4,119,55,18,1,,,,brute,13 13 13,seeder,1 1 1,minion_nometeor,1 1 1,elite,3 3 3,,
120,5,Tier 31,0,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,locust,2 2 2
121,5,121,180,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,,
122,5,122,320,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,locust,2 2 2
123,5,123,600,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,,
124,6,Tier 32,0,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,locust,2 2 2
125,6,121,180,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,,
126,6,122,320,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,locust,2 2 2
127,6,123,600,18,1,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,3 3 3,elite,5 5 5,,
128,7,Debug,0,,,,goon,1 1,,,,,,,,,,
129,7,Debug,1,,,,brute,1 1,,,,,,,,,,
130,7,Debug,2,,,,minion,1 1,,,,,,,,,,
131,7,Debug,3,,,,seeder,1 1,,,,,,,,,,
132,7,Debug,4,,,,elite,1 1,,,,,,,,,,
133,7,Debug,5,,,,brute,10 10,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,1,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,0.5,0.5,1,1,120,start,,,,,,,,,,,
501,2,1,1,1,1,120,2 Minutes,,,,,,,,,,,
502,3,2,2,1,1,120,4 Minutes,,,,,,,,,,,
503,4,3,2,1,1,120,6 Minutes,,,,,,,,,,,
504,5,4,2,1,1,120,8 Minutes,,,,,,,,,,,
505,6,8,4,1,1,10000,10 Minutes,,,,,,,,,,,
506,7,0.5,0.5,1,1,-1,debug,,,,,,,,,,,
600,1,5000,1,,,,,,,,,,,,,,,
601,2,5000,1,,,,,,,,,,,,,,,
602,3,5000,1,,,,,,,,,,,,,,,
603,4,5000,1,,,,,,,,,,,,,,,
604,5,5000,1,,,,,,,,,,,,,,,
605,6,5000,1,,,,,,,,,,,,,,,
606,7,5000,1,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,
900,0,cargo_area_mini_1 cargo_area_mini_2 cargo_area_mini_3 cargo_area_mini_4,,,,,,,,,,,,,,,,
901,0,top_deck_mini_1 top_deck_mini_2 top_deck_mini_3,,,,,,,,,,,,,,,,
902,0,lab_mini_1 lab_mini_2 lab_mini_3 lab_mini_4,,,,,,,,,,,,,,,,
903,0,door_hive_7 door_hive_8,,,,,,,,,,,,,,,,
1000,weapon_iw6_alienfp6_mp,-1402,2318,224,0,0,0,,,,,,,,,,,,,,,
1001,weapon_iw6_alienvks_mp_alienvksscope,818,2491,224,0,140,0,,,,,,,,,,,,,,,
1002,weapon_iw6_alienrgm_mp,-332,3226,176,0,180,0,,,,,,,,,,,,,,,
1003,weapon_iw6_aliencbjms_mp,806,842,320,0,40,0,,,,,,,,,,,,,,,
1004,weapon_iw6_alienmaul_mp,-320,959,176,0,0,0,,,,,,,,,,,,,,,
1005,weapon_iw6_alienmicrotar_mp,-210,2262,176,0,0,0,,,,,,,,,,,,,,,
1006,weapon_iw6_alienkac_mp,-1426,816,238,0,130,0,,,,,,,,,,,,,,,
1007,weapon_iw6_alienpanzerfaust3_mp,-301,3449,368,0,0,0,,,,,,,,,,,,,,,
1008,weapon_iw6_alieng28_mp,-568,2754,283,0,300,0,,,,,,,,,,,,,,,
1009,weapon_iw6_alienhoneybadger_mp,-1404,3191,368,0,225,0,,,,,,,,,,,,,,,
1010,weapon_iw6_altalienlsat_mp,631,3204,368,0,210,0,,,,,,,,,,,,,,,
1011,weapon_iw6_altalienarx_mp,-718,1183,176,0,0,0,,,,,,,,,,,,,,,
1012,weapon_iw6_altaliensvu_mp,280,2380,281,0,45,0,,,,,,,,,,,,,,,
1013,weapon_iw6_aliendlc23_mp_dlcweap02scope,459,1594,176,0,135,0,,,,,,,,,,,,,,,
4000,-1234,1356,135,,,,,,,,,,,,,,,,,
4001,-1171,1003,135,,,,,,,,,,,,,,,,,
4002,-1086,997,279,,,,,,,,,,,,,,,,,
4003,-720,850,280,,,,,,,,,,,,,,,,,
4004,4,956,279,,,,,,,,,,,,,,,,,
4005,445,1319,136,,,,,,,,,,,,,,,,,
4006,414,1907,241,,,,,,,,,,,,,,,,,
4007,-38,1917,240,,,,,,,,,,,,,,,,,
4008,-340,1977,35,,,,,,,,,,,,,,,,,
4009,-653,1912,135,,,,,,,,,,,,,,,,,
4010,-490,1377,262,,,,,,,,,,,,,,,,,
4011,-933,2203,135,,,,,,,,,,,,,,,,,
4012,-1136,2954,135,,,,,,,,,,,,,,,,,
4013,-1147,3186,328,,,,,,,,,,,,,,,,,
4014,-259,3153,327,,,,,,,,,,,,,,,,,
4015,791,3177,327,,,,,,,,,,,,,,,,,
4016,613,2714,243,,,,,,,,,,,,,,,,,
4017,748,2087,135,,,,,,,,,,,,,,,,,
4018,-336,2952,35,,,,,,,,,,,,,,,,,
4019,-754,2757,135,,,,,,,,,,,,,,,,,
4020,-1248,2362,143,,,,,,,,,,,,,,,,,
4021,-7,2192,348,,,,,,,,,,,,,,,,,
4022,398,2227,350,,,,,,,,,,,,,,,,,
4023,-316,2272,350,,,,,,,,,,,,,,,,,
5000,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5001,15,2,deployable_specialammo bonus_cash-trophy-flare-pet_leash,50 50,100 50-50,,,,,,,,,,,,,
5002,15,2,medic_skill-engineer_skill skill_upgrade bonus_score-trophy-flare-pet_leash-grace_period,50 10000 50,50-50 100 20-20-20-20-20,,,,,,,,,,,,,
5003,15,3,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap deployable_specialammo_in bonus_cash-combo_freeze-trophy-flare-pet_leash,10000 10000 50,20-20-20-20-20 100 20-20-20-20-20,,,,,,,,,,,,,
5004,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5005,15,3,deployable_specialammo_explo skill_upgrade bonus_cash-trophy-flare-pet_leash-grace_period,10000 10000 50,100 100 20-20-20-20-20,,,,,,,,,,,,,
5006,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5007,15,3,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap deployable_specialammo_ap bonus_cash-trophy-flare-pet_leash,10000 10000 50,20-20-20-20-20 100 25-25-25-25,,,,,,,,,,,,,
5008,15,2,specialist_skill-tank_skill skill_upgrade bonus_score-trophy-flare-pet_leash-grace_period,50 10000 50,50-50 100 20-20-20-20-20,,,,,,,,,,,,,
5009,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,
5010,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5011,15,3,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap skill_upgrade  bonus_cash-trophy-flare-pet_leash-grace_period,10000 10000 50,20-20-20-20-20 100 25-25-25-25,,,,,,,,,,,,,
5012,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5013,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5014,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash grace_period,33 33 334,50-50 20-20-20-20-20 100,,,,,,,,,,,,,
5015,15,2,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-combo_freeze-trophy-flare-pet_leash,50 50,20-20-20-20-20 25-25-25-25,,,,,,,,,,,,,
5016,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5017,15,2,bonus_cash-trophy-flare-pet_leash grace_period,50 50,25-25-25-25 100,,,,,,,,,,,,,
5018,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5019,15,2,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-trophy-flare-pet_leash,50 50,20-20-20-20-20 25-25-25-25,,,,,,,,,,,,,
5020,15,3,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash grace_period,33 33 34,50-50 20-20-20-20-20 100,,,,,,,,,,,,,
5021,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,
5022,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5023,15,3,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-trophy-flare-pet_leash grace_period,33 33 34,20-20-20-20-20 20-20-20-20-20 100,,,,,,,,,,,,,
5024,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5025,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5026,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5027,15,2,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-combo_freeze-trophy-flare-pet_leash,50 50,20-20-20-20-20 25-25-25-25,,,,,,,,,,,,,
5028,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5029,15,2,bonus_cash-trophy-flare-pet_leash grace_period,50 50,25-25-25-25 100,,,,,,,,,,,,,
5030,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5031,15,2,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-trophy-flare-pet_leash,50 50,20-20-20-20-20 25-25-25-25,,,,,,,,,,,,,
5032,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5033,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,
5034,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5035,15,2,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-trophy-flare-pet_leash grace_period,33 33 34,20-20-20-20-20 20-20-20-20-20 100,,,,,,,,,,,,,
5036,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5037,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5038,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5039,15,2,venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_cash-combo_freeze-trophy-flare-pet_leash,50 50,20-20-20-20-20 25-25-25-25,,,,,,,,,,,,,
5040,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5041,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5042,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5043,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5044,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5045,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5046,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5047,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
5048,30,3,medic_skill-engineer_skill-specialist_skill-tank_skill venom_x-venom_fire-venom_lightning-tesla_trap-hypno_trap bonus_score-combo_freeze-trophy-flare-pet_leash,33 33 34,25-25-25-25 20-20-20-20-20 20-20-20-20-20,,,,,,,,,,,,,
