a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
129,14,2,35,10,4,,goon,3 3,brute,2 4,spitter,1 2,,,,,,
130,14,3,60,,,,goon,5 5,,,,,,,,,,
131,14,4,70,10,10,,goon,5 5,,,,,,,,,,
132,14,5,85,,,,goon,5 5,brute,4 8,spitter,4 4 6,,,,,,
133,14,6,120,10,5,,,,brute,4 8,,,,,,,,
134,15,0,0,,,,goon,1 1 2,brute,5 6 8,spitter,4 4 6,,,,,locust,1 1 2
135,15,1,10,10,4,,goon,1 1,brute,5 6,,,,,,,,
136,15,2,30,10,4,,goon,1 1,brute,5 6,spitter,4 4,,,,,,
137,15,3,45,10,4,,goon,1 1,brute,5 6,,,,,,,locust,2 2
138,15,4,60,10,4,,goon,1 1,brute,5 6,spitter,4 4,,,,,,
139,15,5,70,10,4,,goon,1 1,brute,5 6,,,,,,,,
140,15,6,85,10,4,,goon,1 1,,,,,,,,,,
141,15,7,120,10,4,,goon,1 1,,,,,,,,,locust,1 1 1
142,15,8,175,10,5,,goon,1 1,brute,5 6,spitter,4 4,,,,,,
143,16,9,160,10,5,,goon,2 4,,,,,,,,,,
144,16,10,175,10,5,,goon,2 4,,,,,,,,,locust,1 1 2
145,16,11,190,10,5,,goon,2 4,brute,5 6,spitter,4 4,,,,,,
146,16,12,205,10,5,,goon,2 4,,,,,,,,,,
147,16,13,220,10,5,,goon,2 4,,,,,,,,,locust,2 2
148,17,Debug,95,,,,goon,1 1,brute,5 6,spitter,4 4,,,,,,
149,17,Debug,95,,,,brute,1 1,,,,,,,,,,
150,17,Debug,95,,,,minion,1 1,brute,5 6,spitter,4 4,,,,,,
151,17,Debug,95,,,,spitter,1 1,,,,,,,,,locust,1 1 1
152,17,Debug,95,,,,elite,1 1,,,,,,,,,,
153,17,Debug,95,,,,brute,10 10,,,,,,,,,,
154,18,0,0,1,100,,,,,,,,,,,,locust,1 1
155,18,1,1000,1,100,,,,brute,1 1,spitter,1 1,,,,,,
156,19,0,0,1,100,,,,brute,1 1,,,,,,,locust,1 1
157,19,1,65,1,100,,,,brute,2 2,,,,,,,,
158,20,0,0,1,100,,,,brute,2 2,spitter,2 2,,,,,,
159,20,1,1000,1,100,,,,brute,1 1,,,,,,,,
160,21,0,0,1,100,,,,brute,2 2,,,,,,,,
161,21,1,1000,1,100,,,,brute,2 2,,,,,,,,
162,22,0,0,1,15,,,,,,,,minion,6 6,,,locust,1 1
163,22,1,1000,1,100,,,,brute,1 1,,,,,,,,
164,23,0,0,1,100,,,,brute,1 1,,,minion,6 6,,,,
165,23,1,1000,1,100,,,,brute,1 1,,,minion,6 6,,,,
166,24,0,0,1,100,,,,brute,1 1,,,minion,6 6,,,,
167,24,1,1000,1,100,,,,brute,3 3,,,minion,6 6,,,,
168,25,0,0,1,100,,,,brute,1 1,,,,,seeder,2 2 2,,
169,25,1,1000,1,100,,,,brute,1 1,,,minion,6 6,,,,
170,26,0,0,1,100,,,,brute,1 1,,,,,,,locust,1 1
171,26,1,1000,1,100,,,,brute,3 3,,,,,seeder,2 2 2,,
172,27,0,0,1,100,,,,brute,2 2,,,,,seeder,1 1,locust,2 2
173,27,1,1000,1,100,,,,brute,3 3,,,minion,6 6,,,,
2000,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
3000,1,yes,0,goon,5 5,,,,,,,,,,,,,
3001,1,no,0,spitter,2 2,,,,,,,,,,,,,
3002,1,no,2,spitter,2 2,,,,,,,,,,,,,
3003,2,no,0,spitter,5 5,,,,,,,,,,,,,
3004,3,yes,0,brute,4 4,,,,,,,,,,,,,
3005,3,no,2,minion,8 8,,,,,,,,,,,,,
3006,4,no,0,minion,12 12,,,,,,,,,,,,,
3007,4,no,8,minion,8 8,,,,,,,,,,,,,
3008,5,no,0,spitter,4 4,minion,8 8,,,,,,,,,,,
3009,6,yes,0,brute,5 5 5,,,,,,,,,,,,,
3010,6,no,0,elite,1 1 1,,,,,,,,,,,,,
3011,7,no,0,elite,2 2,,,,,,,,,,,,,
3012,8,no,0,spitter,5 5,,,,,,,,,,,,,
3013,8,no,5,spitter,3 3,elite,1 1 1,,,,,,,,,,,
3014,9,no,0,spitter,3 3,minion,8 8,elite,1 1 1,,,,,,,,,
3015,10,no,0,elite,2 2,,,,,,,,,,,,,
3016,11,no,0,minion,14 14,,,,,,,,,,,,,
3017,11,no,8,minion,13 13,elite,1 1 1,,,,,,,,,,,
3018,12,yes,0,goon,4 4,,,,,,,,,,,,,
3019,12,no,0,brute,5 5,,,,,,,,,,,,,
3020,13,no,0,brute,10 10,,,,,,,,,,,,,
3021,14,yes,0,elite,1 1,,,,,,,,,,,,,
3022,14,no,0,minion,8 8,,,,,,,,,,,,,
3023,100,no,0,minion,3 3 6,,,,,,,,,,,,,
3024,101,no,0,spitter,4 4 6,elite,2 2 3,,,,,,,,,,,
3025,102,no,0,spitter,3 3,elite,1 1,goon,12 12,,,,,,,,,
3026,103,no,0,spitter,3 3,elite,1 1,,,,,,,,,,,
3027,104,no,0,spitter,3 3,elite,1 1,goon,12 12,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,2,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,1,1,1,0.1,,,,,,,,,,,,,
501,2,1,1,1,1,,,,,,,,,,,,,
502,3,1,1,1,1,,,,,,,,,,,,,
503,4,1,1,1,1,,,,,,,,,,,,,
504,5,1,1,1,1,,,,,,,,,,,,,
505,6,1,1,1,1.5,,,,,,,,,,,,,
506,7,1,1,1,1.5,,,,,,,,,,,,,
507,8,1,1,1,1.5,,,,,,,,,,,,,
508,9,1,1,1,1.5,,,,,,,,,,,,,
509,10,1,1,1.3,2,,,,,,,,,,,,,
510,11,1,1,1.3,2,,,,,,,,,,,,,
511,12,1,1,1.3,2,,,,,,,,,,,,,
512,13,1,1,1.3,2,,,,,,,,,,,,,
513,14,1,1,1.3,2,,,,,,,,,,,,,
514,15,1,1,1.3,2,,,,,,,,,,,,,
515,16,1,1,1.3,2,,,,,,,,,,,,,
516,17,1,1,1.3,2,,,,,,,,,,,,,
517,18,1,1,1,1,,,,,,,,,,,,,
518,19,1,1,1,1,,,,,,,,,,,,,
519,20,1,1,1,1,,,,,,,,,,,,,
520,21,1,1,1,1,,,,,,,,,,,,,
521,22,1,1,1,1,,,,,,,,,,,,,
522,23,1,1,1,1,,,,,,,,,,,,,
523,24,1,1,1,1,,,,,,,,,,,,,
524,25,1,1,1,1,,,,,,,,,,,,,
600,1,90,60,,,,,,,,,,,,,,,
601,2,120,200,,,,,,,,,,,,,,,
602,3,160,75,,,,,,,,,,,,,,,
603,4,120,75,,,,,,,,,,,,,,,
604,5,90,40,,,,,,,,,,,,,,,
605,6,90,50,,,,,,,,,,,,,,,
606,7,90,60,,,,,,,,,,,,,,,
607,8,500,20,,,,,,,,,,,,,,,
608,9,120,120,,,,,,,,,,,,,,,
609,10,90,60,,,,,,,,,,,,,,,
610,11,90,30,,,,,,,,,,,,,,,
611,12,90,30,,,,,,,,,,,,,,,
612,13,90,30,,,,,,,,,,,,,,,
613,14,500,45,,,,,,,,,,,,,,,
700,mini_lung_00,0 120,random_sequence dock_lane_a dock_lane_b,,,,,,,,,,,,,,,
701,mini_lung_00,45,dock_lane_b,,,,,,,,,,,,,,,
702,mini_lung_00,90,dock_lane_a,,,,,,,,,,,,,,,
703,well_deck_1,0 90,random_sequence dock_lane_a dock_lane_b,,,,,,,,,,,,,,,
704,well_deck_1,30,dock_lane_a,,,,,,,,,,,,,,,
705,well_deck_1,120,random_sequence dock_lane_a dock_lane_b,,,,,,,,,,,,,,,
706,well_deck_3,0 135,hallway_1 hallway_2,,,,,,,,,,,,,,,
707,well_deck_3,45 200,random hallway_1 hallway_2,,,,,,,,,,,,,,,
708,well_deck_3,90 180,random_sequence hallway_3 hallway_2 hallway_1,,,,,,,,,,,,,,,
709,cargo_area_mini_1,0 90,random_sequence cargo_area_a cargo_area_d,,,,,,,,,,,,,,,
710,cargo_area_mini_1,30 120,random_sequence cargo_area_b cargo_area_a,,,,,,,,,,,,,,,
711,cargo_area_mini_1,60,cargo_area_a cargo_area_b cargo_area_a cargo_area_b,,,,,,,,,,,,,,,
712,cargo_area_mini_2,0 90,random cargo_area_a cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
713,cargo_area_mini_2,30 140,random_sequence cargo_area_a cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
714,cargo_area_mini_2,60,cargo_area_d,,,,,,,,,,,,,,,
715,cargo_area_mini_3,0,cargo_area_d,,,,,,,,,,,,,,,
716,cargo_area_mini_3,30 90,cargo_area_d cargo_area_a,,,,,,,,,,,,,,,
717,cargo_area_mini_3,60 120,random_sequence cargo_area_d cargo_area_a cargo_area_c,,,,,,,,,,,,,,,
718,cargo_area_mini_4,0 60,random_sequence cargo_area_a cargo_area_b cargo_area_d,,,,,,,,,,,,,,,
719,cargo_area_mini_4,30 90,random_sequence cargo_area_a cargo_area_b cargo_area_c,,,,,,,,,,,,,,,
720,cargo_area_mini_4,140,random cargo_area_c cargo_area_a cargo_area_b cargo_area_d,,,,,,,,,,,,,,,
721,cargo_area_main,0 60,cargo_area_a cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
722,cargo_area_main,25 75,cargo_area_a cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
723,cargo_area_main,90 180,cargo_area_a cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
724,top_deck_mini_1,0 60,random_sequence top_deck_a top_deck_b,,,,,,,,,,,,,,,
725,top_deck_mini_1,30 90,random top_deck_b top_deck_a,,,,,,,,,,,,,,,
726,top_deck_mini_1,140,top_deck_b,,,,,,,,,,,,,,,
727,lab_mini_1,0 60,random_sequence lab_area_a lab_area_b lab_area_c,,,,,,,,,,,,,,,
728,lab_mini_1,30 90,random_sequence lab_area_a lab_area_d lab_area_c,,,,,,,,,,,,,,,
729,lab_mini_1,140,blocker_hive_2,,,,,,,,,,,,,,,
730,lab_mini_2,0 90,random blocker_hive_2 lab_area_a lab_area_b lab_area_c,,,,,,,,,,,,,,,
731,lab_mini_2,30,lab_area_a,,,,,,,,,,,,,,,
732,lab_mini_2,60 140,random_sequence lab_area_a lab_area_b,,,,,,,,,,,,,,,
733,lab_mini_3,0 60,random_sequence lab_area_b lab_area_a,,,,,,,,,,,,,,,
734,lab_mini_3,30 90,random_sequence lab_area_c blocker_hive_2,,,,,,,,,,,,,,,
735,lab_mini_3,140,lab_area_c,,,,,,,,,,,,,,,
736,lab_mini_4,0,blocker_hive_2,,,,,,,,,,,,,,,
737,lab_mini_4,30 90,random_sequence lab_area_d lab_area_a,,,,,,,,,,,,,,,
738,lab_mini_4,60 140,random_sequence lab_area_a lab_area_b,,,,,,,,,,,,,,,
739,lab_area_main,0 60 120,random blocker_hive_2 lab_area_d lab_area_c,,,,,,,,,,,,,,,
740,lab_area_main,30 90,random blocker_hive_2 lab_area_d lab_area_b lab_area_c,,,,,,,,,,,,,,,
741,lab_area_main,80 200,random blocker_hive_2 lab_area_d lab_area_a lab_area_c,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,
801,,,,,,,,,,,,,,,,,,
802,,,,,,,,,,,,,,,,,,
803,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,,,,
808,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,,,
810,,,,,,,,,,,,,,,,,,
811,,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,,,,
814,,,,,,,,,,,,,,,,,,
815,,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,,,,
901,,,,,,,,,,,,,,,,,,
902,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,
