a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
78,7,5,60,7,7,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
79,7,6,79,,,,,,,,,,minion,6 6,,,,
80,7,7,80,10,1,,goon,3 3,brute,2 2,,,,,,,,
81,7,8,90,7,7,,,,brute,2 2,spitter,2 2,,,,,,
82,7,9,110,7,1,,goon,4 4,brute,2 2,,,,,,,,
83,7,10,119,,,,,,,,,,minion,6 6,,,,
84,7,11,120,7,7,,,,brute,2 2,,,,,,,,
85,7,12,130,,,,goon,4 4,brute,2 2,,,,,,,,
86,7,13,140,7,7,,,,,,spitter,2 2,,,,,,
87,7,14,150,,,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
88,7,END (180),160,8,7,,goon,4 4,brute,2 2,,,,,,,,
89,7,Compound 2 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
90,8,Compound 3 (0),0,,,,goon,3 3 5,,,spitter,8 8 8,minion,8 8 8,,,,
91,8,1,10,6,4,,,,brute,2 2 3,spitter,2 2 2,,,,,,
92,8,2,30,6,4,,goon,3 3,brute,2 2,,,,,,,,
93,8,3,50,,,,,,,,,,minion,8 8,,,,
94,8,4,60,7,4,,goon,3 3,brute,2 2,,,,,,,,
95,8,5,80,7,1,,,,,,spitter,2 2,,,,,,
96,8,6,95,7,4,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
97,8,7,115,,,,,,brute,2 2,,,,,,,,
98,8,8,124,,,,,,,,,,minion,8 8,,,,
99,8,9,125,7,4,,goon,3 3,,,spitter,2 2,,,,,,
100,8,10,140,,,,goon,3 3,brute,2 2,,,,,,,,
101,8,11,160,8,4,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
102,8,END (180),170,8,4,,goon,3 3,brute,2 2,spitter,2 2 3,,,,,,
103,8,Compound 3 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
104,9,Compound 4 (0),0,7,7,,goon,3 3 5,,,spitter,3 3 3,,,,,,
105,9,1,10,7,7,,,,brute,3 3 3,spitter,3 3,,,,,,
106,9,2,30,7,7,,goon,3 3,,,,,,,,,,
107,9,3,45,7,7,,goon,3 3,brute,3 3,spitter,3 3,,,,,,
108,9,4,55,,,,goon,3 3,brute,3 3,,,minion,8 8 8,,,,
109,9,5,75,7,7,,goon,3 3,brute,3 3,spitter,3 3,,,,,,
110,9,6,85,7,7,,,,brute,3 3,,,,,,,,
111,9,7,95,,,,goon,3 3,,,spitter,3 3,minion,8 8,,,locust,2 2 2
112,9,8,115,7,5,,,,brute,3 3,,,,,,,,
113,9,9,125,7,5,,goon,3 3,brute,3 3,spitter,3 3,,,,,,
114,9,10,135,,,,,,,,,,minion,8 8,,,,
115,9,11,155,8,5,,goon,3 3,brute,3 3,spitter,3 3,,,,,,
116,9,12,170,,,,goon,3 3,,,spitter,3 3,minion,8 8,,,,
117,9,END (200),180,8,5,,goon,3 3,,,spitter,3 3,,,,,,
118,9,Compound 4 (x1),400,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
119,10,Facility 1 (0),0,10,5,,goon,3 3 5,brute,3 3 5,spitter,4 4 5,,,,,,
120,10,1,30,10,3,,goon,3 3,brute,3 3,,,,,,,,
121,10,2,50,10,3,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
122,10,3,80,,,,goon,3 3,brute,3 3,,,,,,,locust,1 1 1
123,10,4,95,10,3,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
124,10,5,110,10,3,,goon,3 3,brute,3 3,,,,,,,,
125,10,6,120,,,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
126,10,7,140,10,3,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
127,10,END (180),160,10,3,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
128,10,Facility 1 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
129,11,Facility 2 (0),0,7,2,,goon,3 3 5,,,spitter,8 8 8,,,,,,
130,11,1,25,8,4,,goon,3 3,brute,3 3 6,spitter,4 4 5,,,,,,
131,11,2,50,7,5,,goon,3 3,brute,3 3,,,,,,,,
132,11,3,60,8,4,,goon,3 3,brute,3 3,,,,,,,locust,1 1 1
133,11,4,75,8,5,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
134,11,5,95,,,,goon,3 3,brute,3 3,,,,,,,,
135,11,6,115,8,5,,goon,3 3,brute,3 3,,,,,,,,
136,11,7,130,8,4,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
137,11,8,140,7,4,,goon,3 3,brute,3 3,,,,,,,,
138,11,END (180),150,8,5,,goon,3 3,brute,3 3,spitter,4 4,,,,,,
139,11,Facility 2 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
140,12,Facility 3 (0),0,,,,goon,3 3 5,brute,4 4 7,,,,,,,locust,1 1 2
141,12,1,10,8,5,,goon,3 3,brute,4 4,,,,,,,,
142,12,2,30,,,,goon,3 3,brute,4 4,spitter,4 4 5,,,,,,
143,12,3,45,,,,goon,3 3,brute,4 4,,,,,,,locust,2 2
144,12,4,60,8,5,,goon,3 3,brute,4 4,spitter,4 4,,,,,,
145,12,5,70,,,,goon,3 3,brute,4 4,,,,,,,,
146,12,6,85,10,4,,goon,3 3,brute,4 4,spitter,4 4,,,,,,
147,12,7,120,10,10,,goon,3 3,brute,4 4,spitter,4 4,,,,,locust,1 1
148,12,END (180),175,10,5,,goon,3 3,brute,4 4,spitter,4 4,,,,,,
149,12,Facility 3 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
150,13,Facility 4 (0),0,,,,goon,3 3 5,brute,5 5 7,spitter,4 4 5,,,,,locust,1 1 2
151,13,1,10,10,4,,goon,3 3,brute,5 5,,,,,,,,
152,13,2,30,10,4,,goon,3 3,brute,5 5,spitter,4 4,,,,,,
153,13,3,45,10,4,,goon,3 3,brute,5 5,,,,,,,locust,2 2
154,13,4,60,10,4,,goon,3 3,brute,5 5,spitter,4 4,,,,,,
155,13,5,70,10,4,,goon,3 3,brute,5 5,,,,,,,,
156,13,6,85,10,4,,goon,3 3,brute,5 5,spitter,4 4,,,,,,
157,13,7,120,10,4,,goon,3 3,brute,5 5,spitter,4 4,,,,,locust,1 1 1
158,13,END (200),175,10,5,,goon,3 3,brute,5 5,spitter,4 4,,,,,,
159,13,Facility 4 (x1),400,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
160,14,Facility 5 (0),0,,,,,,brute,5 5 7,,,,,,,,
161,14,1,10,10,4,,,,brute,5 5,spitter,4 4 6,,,,,,
162,14,2,30,10,4,,,,brute,5 5,,4 4,,,,,,
163,14,3,50,10,4,,,,brute,5 5,,4 4,,,,,,
164,14,4,85,10,4,,,,brute,5 5,,4 4,,,,,,
165,14,5,100,,,,goon,10 10 10,,,spitter,4 4,,,,,locust,2 2 2
166,14,6,130,10,4,,,,brute,5 5,spitter,5 5,,,,,,
167,14,7,145,10,4,,,,brute,5 5,spitter,5 5,,,,,,
168,14,END (200),160,10,4,,,,brute,5 5,spitter,5 5,,,,,locust,2 2 2
169,14,Facility 5 (x1),400,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
170,15,Spider 2 (0),0,,,,,,brute,3 5 8,,,,,,,,
171,15,1,15,10,5,,goon,4 4 6,,,,,minion,4 4 4,,,,
172,15,2,30,10,5,,goon,4 4,,,,,,,,,,
173,15,3,60,10,5,,goon,4 4,,,,,minion,4 4,,,,
174,15,4,75,10,5,,goon,4 4,,,,,,,,,,
175,15,5,90,10,5,,goon,4 4,,,,,minion,4 4,,,,
176,15,6,120,,,,goon,4 4,,,,,,,,,,
177,15,7,135,,,,goon,4 4,,,,,minion,4 4,,,,
178,15,8,150,10,5,,goon,4 4,,,,,,,,,,
179,15,9,180,10,5,,goon,4 4,,,,,minion,4 4,,,,
180,15,10,195,10,5,,goon,4 4,,,,,,,,,,
181,15,11,210,10,5,,goon,4 4,,,,,minion,4 4,,,,
182,15,12,225,10,5,,goon,4 4,,,,,,,,,,
183,15,13,240,10,5,,goon,4 4,,,,,minion,4 4,,,,
184,15,14,255,10,5,,goon,4 4,,,,,,,,,,
185,15,15,270,10,5,,goon,4 4,,,,,minion,4 4,,,,
186,15,16,285,10,5,,goon,4 4,,,,,,,,,,
187,15,17,300,10,5,,goon,4 4,,,,,minion,4 4,,,,
188,15,18,315,10,5,,goon,4 4,,,,,,,,,,
189,15,19,330,10,5,,goon,4 4,,,,,minion,4 4,,,,
190,15,20,345,10,5,,goon,4 4,,,,,,,,,,
191,15,21,360,10,5,,goon,4 4,,,,,minion,4 4,,,,
192,15,22,375,10,5,,goon,4 4,,,,,,,,,,
193,15,23,390,10,5,,goon,4 4,,,,,minion,4 4,,,,
194,15,24,405,10,5,,goon,4 4,,,,,,,,,,
195,15,25,420,10,5,,goon,4 4,,,,,minion,4 4,,,,
196,15,26,435,10,5,,goon,4 4,,,,,,,,,,
197,15,27,450,10,5,,goon,4 4,,,,,minion,4 4,,,,
198,15,28,465,10,5,,goon,4 4,,,,,,,,,,
199,15,29,480,10,5,,goon,4 4,,,,,minion,4 4,,,,
200,15,30,495,10,5,,goon,4 4,,,,,,,,,,
201,15,END (),510,10,5,,goon,4 4,,,,,minion,4 4,,,,
202,16,Debug,0,,,,goon,1 1,,,,,,,,,,
203,16,Debug,1,,,,,,brute,1 1,,,,,,,,
204,16,Debug,2,,,,,,,,,,minion,4 4,,,,
205,16,Debug,3,,,,,,,,spitter,1 1,,,,,,
206,16,Debug,4,,,,,,,,,,,,elite,1 1,,
207,16,Debug,5,,,,,,brute,10 10,,,,,,,,
208,16,Debug,6,,,,,,,,,,,,,,locust,1 1
2000,3,reached_layer_1,17,30,,,,,,,,,,,,,,
2001,6,reached_layer_1,17,30,,,,,,,,,,,,,,
2002,7,reached_layer_1,17,30,,,,,,,,,,,,,,
2003,8,reached_layer_1,17,20,,,,,,,,,,,,,,
2004,8,reached_layer_2,18,30,,,,,,,,,,,,,,
2005,9,reached_layer_1,18,20,,,,,,,,,,,,,,
2006,9,reached_layer_2,18,30,,,,,,,,,,,,,,
2007,11,reached_layer_1,18,30,,,,,,,,,,,,,,
2008,12,reached_layer_1,18,30,,,,,,,,,,,,,,
2009,12,reached_layer_2,18,30,,,,,,,,,,,,,,
2010,13,reached_layer_1,18,30,,,,,,,,,,,,,,
2011,13,reached_layer_2,18,30,,,,,,,,,,,,,,
2012,14,reached_layer_1,19,45,,,,,,,,,,,,,,
2013,14,reached_layer_2,18,30,,,,,,,,,,,,,,
2014,0,posture_1,1,30,boss_spawners_01,,,,,,,,,,,,,
2015,0,posture_2,2,30,boss_spawners_01,,,,,,,,,,,,,
2016,0,posture_3,3,30,boss_spawners_01,,,,,,,,,,,,,
2017,0,posture_4,4,30,boss_spawners_01,,,,,,,,,,,,,
2018,0,posture_5,5,30,boss_spawners_01,,,,,,,,,,,,,
2019,0,posture_11,11,0,boss_spawners_03,,,,,,,,,,,,,
2020,0,posture_12,12,0,boss_spawners_03,,,,,,,,,,,,,
2021,0,posture_13,13,0,boss_spawners_03,,,,,,,,,,,,,
2022,0,posture_14,14,0,boss_spawners_03,,,,,,,,,,,,,
2023,0,posture_15,15,0,boss_spawners_03,,,,,,,,,,,,,
2024,0,elevated_attack_1,16,60,,,,,,,,,,,,,,
3000,1,no,0,goon,4 4,,,,,,,,,,,,,
3001,2,no,0,goon,4 4,brute,4 4,,,,,,,,,,,
3002,2,no,10,goon,4 4,minion,6 6,,,,,,,,,,,
3003,3,no,0,minion,12 12,,,,,,,,,,,,,
3004,3,no,10,goon,4 4,minion,6 6,,,,,,,,,,,
3005,4,no,0,goon,3 3,brute,3 3,,,,,,,,,,,
3006,4,no,5,goon,4 4,,,,,,,,,,,,,
3007,4,no,10,goon,4 4,,,,,,,,,,,,,
3008,5,no,0,brute,4 4,minion,6 6,,,,,,,,,,,
3009,5,no,5,goon,4 4,,,,,,,,,,,,,
3010,5,no,10,goon,4 4,locust,1 1,,,,,,,,,,,
3011,6,no,0,goon,6 6,,,,,,,,,,,,,
3012,7,no,0,brute,6 6,,,,,,,,,,,,,
3013,8,no,0,goon,4 4,minion,12 12,,,,,,,,,,,
3014,9,no,0,goon,2 2,brute,2 2,locust,1 1,,,,,,,,,
3015,10,no,0,brute,4 4,brute,3 3,minion,6 6,,,,,,,,,
3016,11,yes,0,goon,4 4,brute,2 2,minion,6 6,locust,1 1,,,,,,,
3017,11,yes,0,goon,4 4,brute,2 2,minion,6 6,locust,1 1,,,,,,,
3018,11,yes,0,goon,4 4,brute,2 2,minion,6 6,locust,1 1,,,,,,,
3019,12,yes,0,goon,2 2,brute,4 4,minion,6 6,,,,,,,,,
3020,12,yes,0,goon,2 2,brute,4 4,minion,6 6,,,,,,,,,
3021,12,yes,0,goon,2 2,brute,4 4,minion,6 6,,,,,,,,,
3022,13,yes,0,goon,3 3,brute,2 2,minion,9 9,locust,1 1,,,,,,,
3023,13,yes,0,goon,3 3,brute,2 2,minion,9 9,,,,,,,,,
3024,13,yes,0,goon,3 3,brute,2 2,minion,9 9,,,,,,,,,
3025,14,yes,0,goon,2 2,brute,2 2,minion,9 9,,,,,,,,,
3026,14,yes,0,goon,2 2,brute,2 2,minion,9 9,,,,,,,,,
3027,14,yes,0,goon,2 2,brute,2 2,minion,9 9,,,,,,,,,
3028,15,yes,0,goon,1 1,brute,2 2,minion,9 9,,,,,,,,,
3029,15,yes,0,goon,1 1,brute,2 2,minion,9 9,,,,,,,,,
3030,15,yes,0,goon,1 1,brute,2 2,minion,9 9,locust,1 1,,,,,,,
3031,16,no,0,goon,8 8,brute,3 3,elite,1 1,,,,,,,,,
3032,16,no,7,goon,8 8,brute,3 3,elite,1 1,,,,,,,,,
3033,16,no,14,goon,8 8,brute,3 3,minion,6 6,locust,1 1,elite,1 1,,,,,
3034,17,no,0,locust,1 1,,,,,,,,,,,,,
3035,18,no,0,elite,1 1,,,,,,,,,,,,,
3036,19,no,0,elite,2 2,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,2,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,1,1,1,1,,,,,,,,,,,,,
501,2,1,1,1,1,,,,,,,,,,,,,
502,3,1,1,1,1,,,,,,,,,,,,,
503,4,1,1,1,1,,,,,,,,,,,,,
504,5,1,1,1,1,,,,,,,,,,,,,
505,6,1,1,1,1.5,,,,,,,,,,,,,
506,7,1,1,1,1.5,,,,,,,,,,,,,
507,8,1,1,1,1.5,,,,,,,,,,,,,
508,9,1,1,1,1.5,,,,,,,,,,,,,
509,10,1,1,1,2,,,,,,,,,,,,,
510,11,1,1,1,2,,,,,,,,,,,,,
511,12,1,1,1,2,,,,,,,,,,,,,
512,13,1,1,1,2,,,,,,,,,,,,,
513,14,1,1,1,2,,,,,,,,,,,,,
514,15,1,1,1,2,,,,,,,,,,,,,
600,1,90,10000,,,,,,,,,,,,,,,
601,2,130,180,,,,,,,,,,,,,,,
602,3,65 130,180,,,,,,,,,,,,,,,
603,4,130,180,,,,,,,,,,,,,,,
604,5,500,10000,,,,,,,,,,,,,,,
605,6,90 180,10000,,,,,,,,,,,,,,,
606,7,90 180,180,,,,,,,,,,,,,,,
607,8,50 140 180,180,,,,,,,,,,,,,,,
608,9,10 120 180,180,,,,,,,,,,,,,,,
609,10,200,10000,,,,,,,,,,,,,,,
610,11,100 200,180,,,,,,,,,,,,,,,
611,12,30 120 180,180,,,,,,,,,,,,,,,
612,13,30 120 180,180,,,,,,,,,,,,,,,
613,14,100 170 180,180,,,,,,,,,,,,,,,
614,15,200,10000,,,,,,,,,,,,,,,
615,16,500,10000,,,,,,,,,,,,,,,
700,checkpoint_hive_01,0 120,random_sequence checkpoint_03a checkpoint_01b,,,,,,,,,,,,,,,
701,checkpoint_hive_01,45,checkpoint_02b,,,,,,,,,,,,,,,
702,checkpoint_hive_01,90,checkpoint_03a,,,,,,,,,,,,,,,
703,checkpoint_hive_02,0 90,random_sequence checkpoint_01a checkpoint_01b,,,,,,,,,,,,,,,
704,checkpoint_hive_02,45,checkpoint_02a,,,,,,,,,,,,,,,
705,checkpoint_hive_02,120,random_sequence checkpoint_01a checkpoint_02a,,,,,,,,,,,,,,,
706,checkpoint_hive_03,0 60,random_sequence checkpoint_01a checkpoint_02b,,,,,,,,,,,,,,,
707,checkpoint_hive_03,30 90,random checkpoint_02a checkpoint_03b,,,,,,,,,,,,,,,
708,checkpoint_hive_03,120,checkpoint_02a checkpoint_02b,,,,,,,,,,,,,,,
709,checkpoint_hive_04,0 90,random_sequence checkpoint_01a checkpoint_02b,,,,,,,,,,,,,,,
710,checkpoint_hive_04,30 120,random_sequence checkpoint_03a checkpoint_03b,,,,,,,,,,,,,,,
711,checkpoint_hive_04,60,checkpoint_01a checkpoint_02b checkpoint_03a checkpoint_03b,,,,,,,,,,,,,,,
712,checkpoint_hive_05,0 60,random_sequence checkpoint_02a boss_spawners_01,,,,,,,,,,,,,,,
713,checkpoint_hive_05,30 90,random_sequence checkpoint_01a checkpoint_02b,,,,,,,,,,,,,,,
714,checkpoint_hive_05,120,checkpoint_01a checkpoint_02a checkpoint_02b,,,,,,,,,,,,,,,
715,first_spider_fight,0 135,boss_spawners_01,,,,,,,,,,,,,,,
716,first_spider_fight,45 200,boss_spawners_01,,,,,,,,,,,,,,,
717,first_spider_fight,90 180,boss_spawners_01,,,,,,,,,,,,,,,
718,compound_hive_01,0 135,random_sequence compound_01a compound_01b,,,,,,,,,,,,,,,
719,compound_hive_01,45,compound_02a,,,,,,,,,,,,,,,
720,compound_hive_01,90 180,compound_01a compound_01b,,,,,,,,,,,,,,,
721,compound_hive_02,0 135,random_sequence compound_02a compound_01a,,,,,,,,,,,,,,,
722,compound_hive_02,45,compound_02a compound_02b,,,,,,,,,,,,,,,
723,compound_hive_02,90 180,random compound_01a compound_02b,,,,,,,,,,,,,,,
724,compound_hive_03,0 135,random_sequence compound_01b compound_03b,,,,,,,,,,,,,,,
725,compound_hive_03,45,compound_03a compound_03b,,,,,,,,,,,,,,,
726,compound_hive_03,90 180,random compound_03b compound_01b,,,,,,,,,,,,,,,
727,compound_hive_04,0 135,random_sequence compound_03b compound_02a,,,,,,,,,,,,,,,
728,compound_hive_04,45,compound_01b,,,,,,,,,,,,,,,
729,compound_hive_04,90 180,compound_01b compound_02a compound_03b,,,,,,,,,,,,,,,
730,compound_hive_05,0 135,random_sequence compound_01b compound_02a compound_02b compound_03a,,,,,,,,,,,,,,,
731,compound_hive_05,45,random compound_02a compound_02b,,,,,,,,,,,,,,,
732,compound_hive_05,90 180,compound_01b compound_02a compound_02b compound_03a,,,,,,,,,,,,,,,
733,compound_hive_06,0 135,random_sequence compound_01b compound_02a,,,,,,,,,,,,,,,
734,compound_hive_06,45,random compound_02a compound_03b,,,,,,,,,,,,,,,
735,compound_hive_06,90 180,compound_01b compound_02a compound_03b,,,,,,,,,,,,,,,
736,compound_hive_07,0 135,random_sequence compound_01b compound_02a,,,,,,,,,,,,,,,
737,compound_hive_07,45,random compound_02a compound_03b,,,,,,,,,,,,,,,
738,compound_hive_07,90 180,compound_01b compound_02a compound_03b,,,,,,,,,,,,,,,
739,compound_hive_08,0 135,random_sequence compound_01b compound_02b,,,,,,,,,,,,,,,
740,compound_hive_08,45,random compound_01a compound_01b,,,,,,,,,,,,,,,
741,compound_hive_08,90 180,compound_01a compound_01b compound_02b,,,,,,,,,,,,,,,
742,facility_hive_01,0 135,random_sequence facility_01a facility_02a,,,,,,,,,,,,,,,
743,facility_hive_01,45 200,random facility_01b facility_02a,,,,,,,,,,,,,,,
744,facility_hive_01,90 180,facility_01a facility_01b facility_02a,,,,,,,,,,,,,,,
745,facility_hive_02,0 135,random_sequence facility_01a facility_02a,,,,,,,,,,,,,,,
746,facility_hive_02,45 200,random facility_01b facility_03b,,,,,,,,,,,,,,,
747,facility_hive_02,90 180,facility_01a facility_01b facility_03a facility_03b,,,,,,,,,,,,,,,
748,facility_hive_03,0 135,random_sequence facility_03a facility_02a,,,,,,,,,,,,,,,
749,facility_hive_03,45 200,random facility_03b facility_02a,,,,,,,,,,,,,,,
750,facility_hive_03,90 180,facility_02a facility_03a facility_03b,,,,,,,,,,,,,,,
751,facility_hive_04,0 135,random_sequence facility_01b facility_02a,,,,,,,,,,,,,,,
752,facility_hive_04,45 200,random facility_02a facility_03a,,,,,,,,,,,,,,,
753,facility_hive_04,90 180,facility_01b facility_02a facility_03a,,,,,,,,,,,,,,,
754,facility_hive_05,0 135,random_sequence facility_01a facility_02a,,,,,,,,,,,,,,,
755,facility_hive_05,45 200,random facility_01b facility_02a,,,,,,,,,,,,,,,
756,facility_hive_05,90 180,facility_02a facility_01a facility_01b,,,,,,,,,,,,,,,
757,facility_hive_06,0 135,random_sequence facility_01a facility_01b facility_02a facility_03a facility_03b,,,,,,,,,,,,,,,
758,facility_hive_06,45 200,random_sequence facility_01a facility_01b facility_02a facility_03a facility_03b,,,,,,,,,,,,,,,
759,facility_hive_07,0 135,random_sequence facility_01a facility_03a,,,,,,,,,,,,,,,
760,facility_hive_07,45 200,random facility_01b facility_03b,,,,,,,,,,,,,,,
761,facility_hive_07,90 180,facility_01a facility_01b facility_03a facility_03b,,,,,,,,,,,,,,,
