a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
54,5,10,195,7,5,,goon,4 4,,,,,,,,,,
55,5,11,210,7,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
56,5,12,225,7,5,,goon,4 4,,,,,,,,,,
57,5,END (),240,7,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
58,5,Spider 1 (x1),450,18,1,,,,brute,9 9 9,spitter,1 1 2,,,elite,5 5 5,locust,2 2 2
59,6,Compound 1 (0),0,5,5,,,,brute,1 1 2,,,,,,,,
60,6,1,10,5,5,,goon,4 4 4,,,,,,,,,,
61,6,2,20,5,5,,goon,4 4,brute,1 1,spitter,1 1,,,,,,
62,6,3,30,5,5,,goon,4 4,,,,,minion,4 4 4,,,,
63,6,4,40,5,5,,goon,4 4,brute,1 1,,,,,,,,
64,6,5,49,5,5,,goon,4 4,,,,,,,,,,
65,6,6,50,5,5,,goon,4 4,,,spitter,1 1,,,,,,
66,6,7,80,5,5,,goon,4 4,brute,1 1,,,,,,,,
67,6,8,89,,,,,,,,,,minion,4 4,,,,
68,6,Locust Event (30),90,5,5,,goon,4 4,,,spitter,2 2,,,,,,
69,6,10,100,5,5,,goon,4 4,brute,1 1,,,,,,,,
70,6,11,110,5,5,,goon,4 4,,,,,,,,,,
71,6,12,119,,,,,,,,,,minion,4 4,,,,
72,6,13,120,5,5,,goon,4 4,,,spitter,2 2,,,,,,
73,6,14,130,5,5,,goon,4 4,brute,1 1,,,,,,,,
74,6,15,140,5,5,,goon,4 4,,,,,,,,,,
75,6,16,150,5,5,,goon,4 4,brute,1 1,,,,,,,,
76,6,17,160,5,5,,goon,4 4,,,spitter,2 2,,,,,,
77,6,18,169,,,,,,,,,,minion,4 4,,,,
78,6,END (180),170,5,5,,goon,4 4,brute,1 1,spitter,2 2,,,,,,
79,6,Compound 1 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
80,7,Compound 2 (0),0,5,5,,,,,,,,minion,4 4 4,,,,
81,7,1,1,5,5,,goon,4 4 5,brute,2 2 2,,,,,,,,
82,7,2,20,5,5,,goon,4 4,brute,2 2,spitter,2 2 2,,,,,,
83,7,3,30,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
84,7,4,50,5,5,,goon,4 4,brute,2 2,,,,,,,,
85,7,5,60,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
86,7,6,79,5,5,,,,,,,,minion,4 4,,,,
87,7,7,80,10,1,,goon,4 4,brute,2 2,,,,,,,,
88,7,Rhino Event (45),90,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
89,7,9,110,5,1,,goon,8 8 8,brute,2 2,,,,,,,,
90,7,10,119,5,5,,,,,,,,minion,4 4,,,,
91,7,11,120,5,5,,goon,4 4 5,brute,2 2,,,,,,,,
92,7,12,130,5,5,,goon,4 4,brute,2 2,,,,,,,,
93,7,13,140,5,5,,goon,4 4,,,spitter,2 2,,,,,,
94,7,14,150,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
95,7,END (180),160,5,5,,goon,4 4,brute,2 2,,,,,,,,
96,7,Compound 2 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 5,,,elite,5 5 5,locust,2 2 2
97,8,Compound 3 (0),0,5,5,,goon,4 4 5,,,spitter,2 2 2,,,,,,
98,8,1,10,5,5,,goon,4 4,brute,2 2 2,spitter,2 2,,,,,,
99,8,2,30,5,5,,goon,4 4,brute,2 2,,,minion,4 4 4,,,,
100,8,3,50,5,5,,goon,4 4,brute,2 2,,,,,,,,
101,8,4,60,5,5,,goon,4 4,brute,2 2,,,,,,,,
102,8,5,80,5,1,,goon,4 4,,,spitter,2 2,minion,4 4,,,,
103,8,Rhino Event (45),90,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
104,8,7,115,5,5,,goon,4 4,brute,2 2,,,,,,,,
105,8,8,124,,,,,,,,,,minion,4 4,,,,
106,8,9,125,5,5,,goon,4 4,,,spitter,2 2,,,,,,
107,8,10,140,5,5,,goon,4 4,,,,,,,,,,
108,8,11,160,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
109,8,END (180),170,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
110,8,Compound 3 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 5,,,elite,5 5 5,locust,2 2 2
111,9,Compound 4 (0),0,5,5,,goon,4 4 6,,,spitter,2 2 2,,,,,,
112,9,1,10,5,5,,goon,4 4,brute,2 2 3,spitter,2 2,,,,,,
113,9,2,30,5,5,,goon,4 4,,,,,minion,4 4 4,,,,
114,9,3,45,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
115,9,4,55,5,5,,goon,4 4,,,,,,,,,,
116,9,5,75,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
117,9,6,85,,,,goon,4 4,brute,2 2,,,minion,4 4,,,,
118,9,Rhino Event (45),90,5,5,,goon,4 4,,,spitter,2 2,,,,,,
119,9,8,115,5,5,,goon,4 4,brute,2 2,,,,,,,,
120,9,9,125,5,5,,goon,4 4,brute,2 2,spitter,2 2,minion,4 4,,,,
121,9,10,135,5,5,,goon,4 4,,,,,,,,,,
122,9,11,155,5,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
123,9,12,170,5,5,,goon,4 4,,,spitter,2 2,minion,4 4,,,,
124,9,END (200),180,5,5,,goon,4 4,,,spitter,2 2,,,,,,
125,9,Compound 4 (x1),400,18,1,,,,brute,9 9 9,spitter,2 2 5,,,elite,5 5 5,locust,2 2 2
126,10,Facility 1 (0),0,6,5,,goon,3 3 6,brute,2 2 3,spitter,2 2 2,,,,,,
127,10,1,30,6,5,,goon,3 3,brute,2 2,,,minion_nometeor,4 4 4,,,,
128,10,2,50,6,5,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
129,10,3,80,6,5,,goon,3 3,brute,2 2,,,minion_nometeor,4 4,,,,
130,10,Rhino Event (45),90,6,5,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
131,10,5,110,6,5,,goon,3 3,brute,2 2,,,minion_nometeor,4 4,,,,
132,10,6,120,6,5,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
133,10,7,140,6,5,,goon,3 3,brute,2 2,spitter,2 2,minion_nometeor,4 4,,,,
134,10,END (180),160,6,5,,goon,3 3,brute,2 2,spitter,3 3,,,,,,
135,10,Facility 1 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
136,11,Facility 2 (0),0,6,5,,goon,4 4 6,,,spitter,8 8 8,,,,,,
137,11,1,25,6,5,,goon,4 4,brute,2 2 3,spitter,2 2 3,minion_nometeor,4 4 4,,,,
138,11,2,50,6,5,,goon,4 4,brute,2 2,,,,,,,,
139,11,3,60,6,5,,goon,4 4,brute,2 2,,,,,,,,
140,11,4,75,6,5,,goon,4 4,brute,2 2,spitter,2 2,minion_nometeor,4 4,,,,
141,11,Rhino Event (45),90,6,5,,goon,4 4,brute,2 2,,,,,,,,
142,11,6,115,6,5,,goon,4 4,brute,2 2,,,minion_nometeor,4 4,,,,
143,11,7,130,6,5,,goon,4 4,brute,2 2,spitter,2 2,,,,,,
144,11,8,140,6,5,,goon,4 4,brute,2 2,,,minion_nometeor,4 4,,,,
145,11,END (180),150,6,5,,goon,4 4,brute,2 2,spitter,2 2,minion_nometeor,4 4,,,,
146,11,Facility 2 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
147,12,Facility 3 (0),0,6,5,,goon,4 4 6,brute,3 3 4,,,minion_nometeor,4 4 4,,,,
148,12,1,10,6,5,,goon,4 4,brute,3 3,,,,,,,,
149,12,2,30,6,5,,goon,4 4,brute,3 3,spitter,2 2 2,minion_nometeor,4 4 4,,,locust,1 1 1
150,12,3,45,6,5,,goon,4 4,brute,3 3,,,,,,,,
151,12,4,60,6,5,,goon,4 4,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
152,12,5,70,6,5,,goon,4 4,brute,3 3,,,,,,,,
153,12,Rhino Event (45),90,6,5,,goon,4 4,brute,3 3,spitter,2 2,,,,,,
154,12,7,120,6,5,,goon,4 4,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
155,12,END (180),175,6,5,,goon,4 4,brute,3 3,spitter,2 2,,,,,,
156,12,Facility 3 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
157,13,Facility 4 (0),0,6,5,,goon,5 5 6,brute,3 3 3,spitter,2 2 3,,,,,,
158,13,1,10,6,5,,goon,5 5,brute,3 3,,,,,,,,
159,13,2,30,6,5,,goon,5 5,brute,3 3,spitter,2 2,minion_nometeor,4 4 4,,,,
160,13,3,45,6,5,,goon,5 5,brute,3 3,,,minion_nometeor,4 4,,,locust,1 1 1
161,13,4,60,6,5,,goon,5 5,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
162,13,5,70,6,5,,goon,5 5,brute,3 3,,,,,,,,
163,13,Rhino Event (45),100,6,5,,goon,5 5,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
164,13,7,120,6,5,,goon,5 5,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
165,13,END (200),175,6,5,,goon,5 5,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
166,13,Facility 4 (x1),400,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
167,14,Facility 5 (0),0,6,5,,goon,3 3 3,brute,3 3 4,,,minion_nometeor,4 4 4,,,,
168,14,1,10,6,5,,,,brute,3 3,spitter,2 2 3,minion_nometeor,4 4,,,locust,1 1 1
169,14,2,30,6,5,,goon,3 3,brute,3 3,,2 2,minion_nometeor,4 4,,,,
170,14,3,50,6,5,,,,brute,3 3,,2 2,minion_nometeor,4 4,,,,
171,14,4,85,6,5,,,,brute,3 3,,2 2,,,,,,
172,14,Rhino Event (45),100,6,5,,goon,10 10 10,,,spitter,2 2,,,,,,
173,14,6,130,6,5,,,,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
174,14,7,145,6,5,,,,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
175,14,END (200),160,6,5,,goon,3 3 3,brute,3 3,spitter,2 2,minion_nometeor,4 4,,,,
176,14,Facility 5 (x1),400,18,1,,,,brute,9 9 9,spitter,2 2 2,minion_nometeor,4 4,elite,5 5 5,locust,2 2 2
177,15,Spider 2 (0),0,10,7,,,,brute,3 5 8,,,,,,,,
178,15,1,30,7,7,,goon,4 4 5,brute,1 1 1,,,minion,4 4 4,,,,
179,15,2,60,7,7,,goon,4 4,brute,1 1,,,,,,,,
180,15,3,90,7,7,,goon,4 4,brute,1 1,,,minion,4 4,,,,
181,15,4,120,7,7,,goon,4 4,brute,1 1,,,,,,,,
182,15,5,150,7,7,,goon,4 4,brute,1 1,,,minion,4 4,,,,
183,15,6,180,7,7,,goon,4 4,brute,1 1,,,,,,,,
184,15,7,210,7,7,,goon,4 4,brute,1 1,,,minion,4 4,,,,
185,15,8,240,7,7,,goon,4 4,brute,1 1,,,,,,,,
186,15,9,270,7,7,,goon,4 4,brute,1 1,,,minion,4 4,,,,
187,15,10,300,10,5,,goon,4 4,brute,1 1,,,,,,,,
188,15,11,330,10,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
189,15,12,360,10,5,,goon,4 4,brute,1 1,,,,,,,,
190,15,13,390,10,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
191,15,14,420,10,5,,goon,4 4,brute,1 1,,,,,,,,
192,15,15,450,10,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
193,15,16,480,10,5,,goon,4 4,brute,1 1,,,,,,,,
194,15,17,510,10,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
195,15,18,540,10,5,,goon,4 4,brute,1 1,,,,,,,,
196,15,19,570,10,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
197,15,20,600,12,3,,goon,4 4,brute,1 1,,,,,,,,
198,15,21,630,12,3,,goon,4 4,brute,1 1,,,minion,4 4,,,,
199,15,22,660,12,3,,goon,4 4,brute,1 1,,,,,,,,
200,15,23,690,12,3,,goon,4 4,brute,1 1,,,minion,4 4,,,,
201,15,24,720,12,3,,goon,4 4,brute,1 1,,,,,,,,
202,15,25,750,12,3,,goon,4 4,brute,1 1,,,minion,4 4,,,,
203,15,26,780,12,3,,goon,4 4,brute,1 1,,,,,,,,
204,15,27,810,12,3,,goon,4 4,brute,1 1,,,minion,4 4,,,,
205,15,28,840,12,3,,goon,4 4,brute,1 1,,,,,,,,
206,15,29,870,12,3,,goon,4 4,brute,1 1,,,minion,4 4,,,,
207,15,30,900,12,3,,goon,4 4,brute,1 1,,,,,,,,
208,15,END (),930,12,3,,goon,4 4,brute,1 1,,,minion,4 4,,,,
209,16,Debug,0,,,,goon,1 1,,,,,,,,,,
210,16,Debug,1,,,,,,brute,1 1,,,,,,,,
211,16,Debug,2,,,,,,,,,,minion,4 4,,,,
212,16,Debug,3,,,,,,,,spitter,1 1,,,,,,
213,16,Debug,4,,,,,,,,,,,,elite,1 1,,
214,16,Debug,5,,,,,,brute,10 10,,,,,,,,
215,16,Debug,6,,,,,,,,,,,,,,locust,1 1
2000,3,reached_layer_1,17,30,,,,,,,,,,,,,,
2001,6,reached_layer_1,17,30,,,,,,,,,,,,,,
2002,7,reached_layer_1,17,45,,,,,,,,,,,,,,
2003,8,reached_layer_1,17,45,,,,,,,,,,,,,,
2004,9,reached_layer_1,18,45,,,,,,,,,,,,,,
2005,10,reached_layer_1,18,45,,,,,,,,,,,,,,
2006,11,reached_layer_1,18,45,,,,,,,,,,,,,,
2007,12,reached_layer_1,18,45,,,,,,,,,,,,,,
2008,13,reached_layer_1,18,45,,,,,,,,,,,,,,
2009,14,reached_layer_1,18,45,,,,,,,,,,,,,,
2010,0,posture_1,1,30,boss_spawners_01,,,,,,,,,,,,,
2011,0,posture_2,2,30,boss_spawners_01,,,,,,,,,,,,,
2012,0,posture_3,3,30,boss_spawners_01,,,,,,,,,,,,,
2013,0,posture_4,4,30,boss_spawners_01,,,,,,,,,,,,,
2014,0,posture_5,5,30,boss_spawners_01,,,,,,,,,,,,,
2015,0,posture_11,11,0,boss_spawners_03,,,,,,,,,,,,,
2016,0,posture_12,12,0,boss_spawners_03,,,,,,,,,,,,,
2017,0,posture_13,13,0,boss_spawners_03,,,,,,,,,,,,,
2018,0,posture_14,14,0,boss_spawners_03,,,,,,,,,,,,,
2019,0,posture_15,15,0,boss_spawners_03,,,,,,,,,,,,,
2020,0,elevated_attack_1,16,60,,,,,,,,,,,,,,
3000,1,no,0,goon,4 4,,,,,,,,,,,,,
3001,2,no,0,goon,4 4,brute,4 4,,,,,,,,,,,
3002,2,no,10,goon,4 4,minion,6 6,,,,,,,,,,,
3003,3,no,0,minion,12 12,,,,,,,,,,,,,
3004,3,no,10,goon,4 4,minion,6 6,,,,,,,,,,,
3005,4,no,0,goon,3 3,brute,3 3,,,,,,,,,,,
3006,4,no,5,goon,4 4,,,,,,,,,,,,,
3007,4,no,10,goon,4 4,,,,,,,,,,,,,
3008,5,no,0,brute,4 4,minion,6 6,,,,,,,,,,,
3009,5,no,5,goon,4 4,,,,,,,,,,,,,
3010,5,no,10,goon,4 4,locust,1 1,,,,,,,,,,,
3011,6,no,0,goon,6 6,,,,,,,,,,,,,
3012,7,no,0,brute,6 6,,,,,,,,,,,,,
3013,8,no,0,goon,4 4,minion,12 12,,,,,,,,,,,
3014,9,no,0,goon,2 2,brute,2 2,locust,1 1,,,,,,,,,
3015,10,no,0,brute,4 4,brute,3 3,minion,6 6,,,,,,,,,
3016,11,yes,0,goon,4 4,brute,2 2,minion,6 6,locust,1 1,,,,,,,
3017,11,yes,0,goon,4 4,brute,2 2,minion,6 6,locust,1 1,,,,,,,
3018,11,yes,0,goon,4 4,brute,2 2,minion,6 6,locust,1 1,,,,,,,
3019,12,yes,0,goon,2 2,brute,4 4,minion,6 6,,,,,,,,,
3020,12,yes,0,goon,2 2,brute,4 4,minion,6 6,,,,,,,,,
3021,12,yes,0,goon,2 2,brute,4 4,minion,6 6,,,,,,,,,
3022,13,yes,0,goon,3 3,brute,2 2,minion,9 9,locust,1 1,,,,,,,
3023,13,yes,0,goon,3 3,brute,2 2,minion,9 9,,,,,,,,,
3024,13,yes,0,goon,3 3,brute,2 2,minion,9 9,,,,,,,,,
3025,14,yes,0,goon,2 2,brute,2 2,minion,9 9,,,,,,,,,
3026,14,yes,0,goon,2 2,brute,2 2,minion,9 9,,,,,,,,,
3027,14,yes,0,goon,2 2,brute,2 2,minion,9 9,,,,,,,,,
3028,15,yes,0,goon,1 1,brute,2 2,minion,9 9,,,,,,,,,
3029,15,yes,0,goon,1 1,brute,2 2,minion,9 9,,,,,,,,,
3030,15,yes,0,goon,1 1,brute,2 2,minion,9 9,locust,1 1,,,,,,,
3031,16,no,0,goon,8 8,brute,3 3,elite,1 1,,,,,,,,,
3032,16,no,7,goon,8 8,brute,3 3,elite,1 1,,,,,,,,,
3033,16,no,14,goon,8 8,brute,3 3,minion,6 6,locust,1 1,elite,1 1,,,,,
3034,17,no,0,locust,1 1,,,,,,,,,,,,,
3035,18,no,0,elite,1 1,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,2,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,1,1,1,1,,,,,,,,,,,,,
501,2,1,1,1,1,,,,,,,,,,,,,
502,3,1,1,1,1,,,,,,,,,,,,,
503,4,1,1,1,1,,,,,,,,,,,,,
504,5,1,1,1,1,,,,,,,,,,,,,
505,6,1,1,1,1.5,,,,,,,,,,,,,
506,7,1,1,1,1.5,,,,,,,,,,,,,
507,8,1,1,1,1.5,,,,,,,,,,,,,
508,9,1,1,1,1.5,,,,,,,,,,,,,
509,10,1,1,1,2,,,,,,,,,,,,,
510,11,1,1,1,2,,,,,,,,,,,,,
511,12,1,1,1,2,,,,,,,,,,,,,
512,13,1,1,1,2,,,,,,,,,,,,,
513,14,1,1,1,2,,,,,,,,,,,,,
514,15,1,1,1,2,,,,,,,,,,,,,
600,1,90,10000,,,,,,,,,,,,,,,
601,2,130,45,,,,,,,,,,,,,,,
602,3,65 130,45,,,,,,,,,,,,,,,
603,4,130,45,,,,,,,,,,,,,,,
604,5,500,10000,,,,,,,,,,,,,,,
605,6,90 180,10000,,,,,,,,,,,,,,,
606,7,90 180,45,,,,,,,,,,,,,,,
607,8,90 180,45,,,,,,,,,,,,,,,
608,9,90 180,45,,,,,,,,,,,,,,,
609,10,100 200,10000,,,,,,,,,,,,,,,
610,11,100 200,45,,,,,,,,,,,,,,,
611,12,90 180,45,,,,,,,,,,,,,,,
612,13,90 180,45,,,,,,,,,,,,,,,
613,14,90 180,45,,,,,,,,,,,,,,,
614,15,200,10000,,,,,,,,,,,,,,,
615,16,500,10000,,,,,,,,,,,,,,,
700,checkpoint_hive_01,0 120,random_sequence checkpoint_03a checkpoint_01b,,,,,,,,,,,,,,,
701,checkpoint_hive_01,45,checkpoint_02b,,,,,,,,,,,,,,,
702,checkpoint_hive_01,90,checkpoint_03a,,,,,,,,,,,,,,,
703,checkpoint_hive_02,0 90,random_sequence checkpoint_01a checkpoint_01b,,,,,,,,,,,,,,,
704,checkpoint_hive_02,45,checkpoint_02a,,,,,,,,,,,,,,,
705,checkpoint_hive_02,120,random_sequence checkpoint_01a checkpoint_02a,,,,,,,,,,,,,,,
706,checkpoint_hive_03,0 60,random_sequence checkpoint_01a checkpoint_02b,,,,,,,,,,,,,,,
707,checkpoint_hive_03,30 90,random checkpoint_02a checkpoint_03b,,,,,,,,,,,,,,,
708,checkpoint_hive_03,120,checkpoint_02a checkpoint_02b,,,,,,,,,,,,,,,
709,checkpoint_hive_04,0 90,random_sequence checkpoint_01a checkpoint_02b,,,,,,,,,,,,,,,
710,checkpoint_hive_04,30 120,random_sequence checkpoint_03a checkpoint_03b,,,,,,,,,,,,,,,
711,checkpoint_hive_04,60,checkpoint_01a checkpoint_02b checkpoint_03a checkpoint_03b,,,,,,,,,,,,,,,
712,checkpoint_hive_05,0 60,random_sequence checkpoint_02a boss_spawners_01,,,,,,,,,,,,,,,
713,checkpoint_hive_05,30 90,random_sequence checkpoint_01a checkpoint_02b,,,,,,,,,,,,,,,
714,checkpoint_hive_05,120,checkpoint_01a checkpoint_02a checkpoint_02b,,,,,,,,,,,,,,,
715,first_spider_fight,0 135,boss_spawners_01,,,,,,,,,,,,,,,
716,first_spider_fight,45 200,boss_spawners_01,,,,,,,,,,,,,,,
717,first_spider_fight,90 180,boss_spawners_01,,,,,,,,,,,,,,,
718,compound_hive_01,0 135,random_sequence compound_01a compound_01b,,,,,,,,,,,,,,,
719,compound_hive_01,45,compound_02a,,,,,,,,,,,,,,,
720,compound_hive_01,90 180,compound_01a compound_01b,,,,,,,,,,,,,,,
721,compound_hive_02,0 135,random_sequence compound_02a compound_01a,,,,,,,,,,,,,,,
722,compound_hive_02,45,compound_02a compound_02b,,,,,,,,,,,,,,,
723,compound_hive_02,90 180,random compound_01a compound_02b,,,,,,,,,,,,,,,
724,compound_hive_03,0 135,random_sequence compound_01b compound_03b,,,,,,,,,,,,,,,
725,compound_hive_03,45,compound_03a compound_03b,,,,,,,,,,,,,,,
726,compound_hive_03,90 180,random compound_03b compound_01b,,,,,,,,,,,,,,,
727,compound_hive_04,0 135,random_sequence compound_03b compound_02a,,,,,,,,,,,,,,,
728,compound_hive_04,45,compound_01b,,,,,,,,,,,,,,,
729,compound_hive_04,90 180,compound_01b compound_02a compound_03b,,,,,,,,,,,,,,,
730,compound_hive_05,0 135,random_sequence compound_01b compound_02a compound_02b compound_03a,,,,,,,,,,,,,,,
731,compound_hive_05,45,random compound_02a compound_02b,,,,,,,,,,,,,,,
732,compound_hive_05,90 180,compound_01b compound_02a compound_02b compound_03a,,,,,,,,,,,,,,,
733,compound_hive_06,0 135,random_sequence compound_01b compound_02a,,,,,,,,,,,,,,,
734,compound_hive_06,45,random compound_02a compound_03b,,,,,,,,,,,,,,,
735,compound_hive_06,90 180,compound_01b compound_02a compound_03b,,,,,,,,,,,,,,,
736,compound_hive_07,0 135,random_sequence compound_01b compound_02a,,,,,,,,,,,,,,,
737,compound_hive_07,45,random compound_02a compound_03b,,,,,,,,,,,,,,,
738,compound_hive_07,90 180,compound_01b compound_02a compound_03b,,,,,,,,,,,,,,,
739,compound_hive_08,0 135,random_sequence compound_01b compound_02b,,,,,,,,,,,,,,,
740,compound_hive_08,45,random compound_01a compound_01b,,,,,,,,,,,,,,,
741,compound_hive_08,90 180,compound_01a compound_01b compound_02b,,,,,,,,,,,,,,,
742,facility_hive_01,0 135,random_sequence facility_01a facility_02a,,,,,,,,,,,,,,,
743,facility_hive_01,45 200,random facility_01b facility_02a,,,,,,,,,,,,,,,
