a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
1055,5,Transition (4),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1056,5,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1057,5,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1058,5,3,30,,,,goon,5 5,brute,1 1 2,,,,,bomber,2 2 4,,,,,elite,1 1,,
1059,5,4,40,,,,goon,5 5,,,,,minion,2 2 2,,,,,,,,,,
1060,5,5,45,,,,,,,,spitter,1 1 2,,,bomber,2 2,,,,,,,,
1061,5,6,50,,,,goon,5 5,,,,,minion_nometeor,2 2 2,,,,,,,,,,
1062,5,7,60,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 2,locust,1 1 2,elite,1 1,,
1063,5,8,70,,,,goon,5 5,,,,,minion,2 2,,,,,,,,,,
1064,5,9,75,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1065,5,10,80,,,,goon,5 5,,,,,minion_nometeor,2 2,,,,,,,,,,
1066,5,11,90,18,5,,goon,3 3 3,brute,1 1 3,spitter,1 1 2,minion_nometeor,2 2 2,bomber,2 2 4,gargoyle,1 1 2,locust,1 1 2,,,,
1067,5,DEATH,255,18,5,,goon,4 4,brute,3 3 3,spitter,3 3 3,minion_nometeor,2 2 2,bomber,2 2 2,gargoyle,2 2 2,locust,2 2 2,elite,4 4 4,,
1068,6,Gas Station (1),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1069,6,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1070,6,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1071,6,3,30,,,,goon,3 3,brute,1 1 1,,,,,bomber,2 2 2,,,,,,,,
1072,6,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1073,6,5,45,,,,,,,,spitter,1 1 1,,,,,,,,,,,,
1074,6,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1075,6,7,60,,,,goon,3 3,,,,,,,,,gargoyle,1 1 1,,,,,,
1076,6,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1077,6,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1078,6,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1079,6,11,90,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1080,6,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1081,6,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1082,6,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1083,6,15,120,,,,goon,3 3,,,,,,,,,,,,,,,,
1084,6,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1085,6,17,135,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1086,6,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1087,6,19,150,,,,goon,3 3,brute,1 1,,,,,,,,,,,,,,
1088,6,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1089,6,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1090,6,22,170,,,,goon,3 3,,,,,,,bomber,2 2,,,,,,,,
1091,6,End Gas Station (1),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,,,,,gargoyle,1 1,,,,,,
1092,7,Gas Station (2),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1093,7,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1094,7,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1095,7,3,30,,,,goon,3 3,brute,1 1 1,,,,,bomber,2 2 2,,,,,,,,
1096,7,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1097,7,5,45,,,,,,,,spitter,1 1 1,,,,,,,,,,,,
1098,7,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1099,7,7,60,,,,goon,3 3,,,,,,,bomber,2 2,gargoyle,1 1 1,,,,,,
1100,7,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1101,7,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1102,7,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1103,7,11,90,,,,goon,3 3 5,brute,1 1,,,,,bomber,2 2,,,,,,,,
1104,7,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1105,7,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1106,7,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1107,7,15,120,,,,goon,3 3,,,,,,,bomber,2 2,,,,,,,,
1108,7,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1109,7,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1110,7,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1111,7,19,150,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,gargoyle,1 1,,,,,,
1112,7,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1113,7,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1114,7,22,170,,,,goon,3 3,,,,,,,bomber,2 2,,,,,,,,
1115,7,End Gas Station (2),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,,,,,gargoyle,1 1,,,,,,
1116,8,Parking Garage (1),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1117,8,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1118,8,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1119,8,3,30,,,,goon,3 3,brute,1 1 1,,,minion_nometeor,4 4 4,,,,,,,,,,
1120,8,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1121,8,5,45,,,,,,,,spitter,1 1 1,,,,,,,,,,,,
1122,8,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1123,8,7,60,,,,goon,3 3,,,,,,,,,,,,,,,,
1124,8,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1125,8,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1126,8,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1127,8,11,90,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1128,8,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1129,8,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1130,8,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1131,8,15,120,,,,goon,3 3,,,,,,,,,,,,,,,,
1132,8,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1133,8,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1134,8,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1135,8,19,150,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1136,8,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1137,8,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1138,8,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1139,8,End Parking Garage (1),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1140,9,Parking Garage (2),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1141,9,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1142,9,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1143,9,3,30,,,,goon,3 3,brute,1 1 2,,,minion_nometeor,4 4 4,,,,,,,,,,
1144,9,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1145,9,5,45,,,,,,,,spitter,1 1 1,,,,,,,,,,,,
1146,9,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1147,9,7,60,,,,goon,3 3,brute,1 1,,,,,,,,,,,,,,
1148,9,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1149,9,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1150,9,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1151,9,11,90,,,,goon,3 3 5,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1152,9,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1153,9,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1154,9,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1155,9,15,120,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1156,9,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1157,9,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1158,9,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1159,9,19,150,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1160,9,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1161,9,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1162,9,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1163,9,End Parking Garage (2),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1164,10,Rooftops (1),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1165,10,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1166,10,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1167,10,3,30,,,,goon,3 3,,,spitter,1 1 1,,,,,,,,,,,,
1168,10,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1169,10,5,45,,,,,,brute,1 1 1,,,,,,,,,,,,,,
1170,10,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1171,10,7,60,,,,goon,3 3,,,spitter,1 1,,,,,,,,,,,,
1172,10,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1173,10,9,75,,,,goon,3 3,,,,,,,,,,,,,,,,
1174,10,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1175,10,11,90,,,,goon,3 3,,,spitter,1 1,,,,,locust,1 1 1,,,,,,
1176,10,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1177,10,13,105,,,,,,brute,1 1,,,,,,,,,,,,,,
1178,10,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1179,10,15,120,,,,goon,3 3,,,spitter,1 1,,,,,,,,,,,,
1180,10,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1181,10,17,135,,,,goon,3 3,brute,1 1,,,,,,,,,,,,,,
1182,10,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1183,10,19,150,,,,goon,3 3,,,spitter,1 1,,,,,,,,,,,,
1184,10,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1185,10,21,165,,,,,,brute,1 1,,,,,,,,,,,,,,
1186,10,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1187,10,End Rooftops (1),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,,,,,,,,,,,,
1188,11,Rooftops (2),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1189,11,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1190,11,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1191,11,3,30,,,,goon,3 3,,,spitter,1 1 2,,,,,,,,,,,,
1192,11,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1193,11,5,45,,,,,,brute,1 1 1,,,,,,,,,,,,,,
1194,11,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1195,11,7,60,,,,goon,3 3,,,spitter,1 1,,,,,,,,,,,,
1196,11,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1197,11,9,75,,,,,,brute,1 1,,,,,,,,,,,,,,
1198,11,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1199,11,11,90,,,,goon,3 3,,,spitter,1 1,,,,,locust,1 1 1,,,,,,
1200,11,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1201,11,13,105,,,,,,brute,1 1,,,,,,,,,,,,,,
1202,11,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1203,11,15,120,,,,goon,3 3 5,,,spitter,1 1,,,,,,,,,,,,
1204,11,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1205,11,17,135,,,,,,brute,1 1,,,,,,,,,,,,,,
1206,11,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1207,11,19,150,,,,goon,3 3,,,spitter,1 1,,,,,,,,,,,,
1208,11,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1209,11,21,165,,,,,,brute,1 1,,,,,,,,,,,,,,
1210,11,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1211,11,End Rooftops (2),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,,,,,,,,,,,,
1212,12,x Gas Station (1),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1213,12,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1214,12,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1215,12,3,30,,,,goon,3 3,brute,1 1 2,,,,,bomber,2 2 2,,,,,,,,
1216,12,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1217,12,5,45,,,,,,,,spitter,1 1 2,,,,,,,,,,,,
1218,12,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1219,12,7,60,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 1,,,,,,
1220,12,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1221,12,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1222,12,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1223,12,11,90,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1224,12,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1225,12,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1226,12,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1227,12,15,120,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1228,12,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1229,12,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1230,12,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1231,12,19,150,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1232,12,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1233,12,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1234,12,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1235,12,End x Gas Station (1),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,,,bomber,2 2,gargoyle,1 1,,,,,,
1236,13,x Gas Station (2),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1237,13,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1238,13,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1239,13,3,30,,,,goon,3 3,brute,1 1 2,,,,,bomber,2 2 2,,,,,,,,
1240,13,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1241,13,5,45,,,,,,,,spitter,1 1 2,,,,,,,,,,,,
1242,13,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1243,13,7,60,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 2,,,,,,
1244,13,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1245,13,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1246,13,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1247,13,11,90,,,,goon,3 3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1248,13,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1249,13,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1250,13,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1251,13,15,120,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,gargoyle,1 1,,,,,,
1252,13,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1253,13,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1254,13,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1255,13,19,150,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,gargoyle,1 1,,,,,,
1256,13,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1257,13,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1258,13,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1259,13,End x Gas Station (2),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,,,bomber,2 2,gargoyle,1 1,,,,,,
1260,14,x Parking Garage (1),0,,,,goon,3 3 5,,,,,,,,,,,,,,,,
1261,14,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1262,14,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1263,14,3,30,,,,goon,3 3,brute,1 1 1,,,minion_nometeor,4 4 4,,,,,,,,,,
1264,14,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1265,14,5,45,,,,,,,,spitter,1 1 1,,,,,,,,,,,,
1266,14,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1267,14,7,60,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1268,14,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1269,14,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1270,14,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1271,14,11,90,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1272,14,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1273,14,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1274,14,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1275,14,15,120,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1276,14,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1277,14,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1278,14,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1279,14,19,150,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1280,14,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1281,14,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1282,14,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1283,14,End x Parking Garage (1),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1284,15,x Parking Garage (2),0,,,,goon,3 3 5,,,,,,,,,,,,,,,,
1285,15,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1286,15,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1287,15,3,30,,,,goon,3 3,brute,1 1 2,,,minion_nometeor,4 4 4,,,,,,,,,,
1288,15,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1289,15,5,45,,,,,,,,spitter,1 1 2,,,,,,,,,,,,
1290,15,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1291,15,7,60,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1292,15,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1293,15,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1294,15,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1295,15,11,90,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1296,15,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1297,15,13,105,,,,,,,,spitter,1 1,,,,,,,,,,,,
1298,15,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1299,15,15,120,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1300,15,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1301,15,17,135,,,,,,,,spitter,1 1,,,,,,,,,,,,
1302,15,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1303,15,19,150,,,,goon,3 3,brute,1 1,,,minion_nometeor,4 4,,,,,,,,,,
1304,15,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1305,15,21,165,,,,,,,,spitter,1 1,,,,,,,,,,,,
1306,15,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1307,15,End x Parking Garage (2),180,18,5,,goon,3 3,brute,1 1,spitter,1 1,minion_nometeor,4 4,,,,,,,,,,
1308,16,x Rooftops (1),0,,,,goon,3 3 5,,,,,,,,,,,,,,,,
1309,16,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1310,16,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1311,16,3,30,,,,goon,3 3,,,spitter,2 2 2,,,,,,,,,,,,
1312,16,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1313,16,5,45,,,,,,brute,1 1 1,,,,,,,,,,,,,,
1314,16,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1315,16,7,60,,,,goon,3 3,,,spitter,2 2,,,,,locust,1 1 1,,,,,,
1316,16,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1317,16,9,75,,,,goon,3 3,,,,,,,,,,,,,,,,
1318,16,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1319,16,11,90,,,,goon,3 3,,,spitter,2 2,,,,,,,,,,,,
1320,16,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1321,16,13,105,,,,,,brute,1 1,,,,,,,,,,,,,,
1322,16,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1323,16,15,120,,,,goon,3 3,,,spitter,2 2,,,,,locust,1 1,,,,,,
1324,16,16,130,,,,goon,3 3,,,,,,,,,,,,,,,,
1325,16,17,135,,,,goon,3 3,brute,1 1,,,,,,,,,,,,,,
1326,16,18,140,,,,goon,3 3,,,,,,,,,,,,,,,,
1327,16,19,150,,,,goon,3 3,,,spitter,2 2,,,,,locust,1 1,,,,,,
1328,16,20,160,,,,goon,3 3,,,,,,,,,,,,,,,,
1329,16,21,165,,,,,,brute,1 1,,,,,,,,,,,,,,
1330,16,22,170,,,,goon,3 3,,,,,,,,,,,,,,,,
1331,16,End x Rooftops (1),180,18,5,,goon,3 3,brute,1 1,spitter,2 2,,,,,,,,,,,,
1332,17,x Rooftops (2),0,,,,goon,3 3 5,,,,,,,,,,,,,,,,
1333,17,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1334,17,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1335,17,3,30,,,,goon,3 3,,,spitter,2 2 4,,,,,,,,,,,,
1336,17,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1337,17,5,45,,,,,,brute,1 1 2,,,,,,,,,,,,,,
