a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
43,3,3,25,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
44,3,Tier 15,30,,,,goon,11 11 11,,,spitter,3 3 3,,,,,gargoyle,1 1 1,,,,,,
45,3,1,35,,,,goon,11 11 11,brute,3 3 3,,,,,,,,,,,,,,
46,3,2,40,,,,goon,11 11 11,,,,,,,,,,,,,,,,
47,3,3,45,,,,goon,10 10 10,brute,3 3 3,spitter,3 3 3,,,,,,,locust,1 1 1,,,,
48,3,Tier 16,50,,,,goon,10 10 10,,,,,,,,,,,,,,,,
49,3,1,55,,,,goon,10 10 10,brute,3 3 3,,,,,,,,,,,,,,
50,3,2,60,,,,goon,7 7 7,,,spitter,3 3 3,,,bomber,3 3 3,gargoyle,1 1 1,,,,,,
51,3,3,65,,,,goon,7 7 7,brute,3 3 3,,,,,,,,,,,,,,
52,3,Tier 17,70,,,,goon,4 4 4,,,,,minion,3 3 3,,,,,,,,,,
53,3,1,75,,,,goon,4 4 4,brute,3 3 3,spitter,3 3 3,,,,,,,locust,1 1 1,,,,
54,3,2,80,,,,goon,4 4 4,,,,,,,bomber,3 3 3,,,,,,,,
55,3,3,85,,,,goon,4 4 4,brute,3 3 3,,,,,,,,,,,,,,
56,3,Tier 18,90,,,,goon,4 4 4,,,spitter,3 3 3,minion,3 3 3,,,gargoyle,1 1 1,,,,,,
57,3,1,95,,,,goon,4 4 4,brute,3 3 3,,,,,,,,,,,,,,
58,3,2,100,,,,goon,4 4 4,,,,,,,bomber,3 3 3,,,,,,,,
59,3,3,105,,,,goon,4 4 4,brute,3 3 3,spitter,3 3 3,,,,,,,locust,1 1 1,,,,
60,3,Tier 19,110,,,,goon,4 4 4,,,,,minion,3 3 3,,,,,,,,,,
61,3,1,115,,,,goon,4 4 4,brute,3 3 3,,,,,,,,,,,,,,
62,3,2,120,18,5,,goon,4 4 4,,,spitter,3 3 3,,,bomber,3 3 3,gargoyle,1 1 1,,,,,,
63,4,3,0,,,,goon,15 15 15,,,,,,,,,,,,,,,,
64,4,Tier 20,5,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
65,4,1,10,,,,goon,15 15 15,,,,,,,,,,,,,,,,
66,4,2,15,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
67,4,3,20,,,,goon,15 15 15,,,,,,,,,,,,,,,,
68,4,Tier 21,25,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
69,4,1,30,,,,goon,10 10 10,,,spitter,3 3 3,,,,,gargoyle,1 1 1,,,elite,1 1 1,,
70,4,2,35,,,,goon,10 10 10,brute,3 3 3,,,,,,,,,,,,,,
71,4,3,40,,,,goon,10 10 10,,,,,,,,,,,,,,,,
72,4,Tier 22,45,,,,goon,9 9 9,brute,3 3 3,spitter,3 3 3,,,,,,,locust,1 1 1,,,,
73,4,1,50,,,,goon,9 9 9,,,,,,,,,,,,,,,,
74,4,2,55,,,,goon,9 9 9,brute,3 3 3,,,,,,,,,,,,,,
75,4,3,60,,,,goon,6 6 6,,,spitter,3 3 3,,,bomber,3 3 3,gargoyle,1 1 1,,,,,,
76,4,Tier 23,65,,,,goon,6 6 6,brute,3 3 3,,,,,,,,,,,,,,
77,4,1,70,,,,goon,3 3 3,,,,,minion,3 3 3,,,,,,,,,,
78,4,2,75,,,,goon,3 3 3,brute,3 3 3,spitter,3 3 3,,,,,,,locust,1 1 1,,,,
79,4,3,80,,,,goon,3 3 3,,,,,,,bomber,3 3 3,,,,,,,,
80,4,Tier 24,85,,,,goon,3 3 3,brute,3 3 3,,,,,,,,,,,,,,
81,4,1,90,,,,goon,2 2 2,,,spitter,3 3 3,minion,3 3 3,,,gargoyle,1 1 1,,,elite,2 2 2,,
82,4,2,95,,,,goon,2 2 2,brute,3 3 3,,,,,,,,,,,,,,
83,4,3,100,,,,goon,2 2 2,,,,,,,bomber,3 3 3,,,,,,,,
84,4,Tier 25,105,,,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,,,,,,,locust,1 1 1,,,,
85,4,1,110,,,,goon,2 2 2,,,,,minion,3 3 3,,,,,,,,,,
86,4,2,115,,,,goon,2 2 2,brute,3 3 3,,,,,,,,,,,,,,
87,4,3,120,18,5,,goon,2 2 2,,,spitter,3 3 3,,,bomber,3 3 3,gargoyle,1 1 1,,,elite,1 1 1,mammoth,1 1 1
88,5,Tier 26,0,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
89,5,1,180,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
90,5,2,320,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
91,5,3,600,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
92,6,Tier 27,0,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
93,6,1,180,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
94,6,2,320,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
95,6,3,600,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
96,7,Tier 27,0,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
97,7,1,180,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
98,7,2,320,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
99,7,3,600,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
100,8,Tier 27,0,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
101,8,1,180,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
102,8,2,320,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
103,8,3,600,18,5,,goon,2 2 2,brute,3 3 3,spitter,3 3 3,minion,3 3 3,bomber,3 3 3,gargoyle,1 1 1,locust,1 1 1,elite,1 1 1,mammoth,1 1 1
2000,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,1,,,,,,,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,,,,,,,
500,1,0.25,0.25,1,1,60,start,,,,,,,,,,,,,,,,,
501,2,0.5,0.5,1,1,120,1 Minute,,,,,,,,,,,,,,,,,
502,3,1,1,1,1,120,3 Minutes,,,,,,,,,,,,,,,,,
503,4,2,2,1,1.5,120,5 Minutes,,,,,,,,,,,,,,,,,
504,5,3,2,1,1.5,120,7 Minutes,,,,,,,,,,,,,,,,,
505,6,4,2,1,2,120,9 Minutes,,,,,,,,,,,,,,,,,
506,7,4,4,1,2,120,11 Minutes,,,,,,,,,,,,,,,,,
507,8,6,4,1,3,120,13 Minutes,,,,,,,,,,,,,,,,,
600,1,5000,1,,,,,,,,,,,,,,,,,,,,,
601,2,5000,1,,,,,,,,,,,,,,,,,,,,,
602,3,5000,1,,,,,,,,,,,,,,,,,,,,,
603,4,5000,1,,,,,,,,,,,,,,,,,,,,,
604,5,5000,1,,,,,,,,,,,,,,,,,,,,,
605,6,5000,1,,,,,,,,,,,,,,,,,,,,,
606,7,5000,1,,,,,,,,,,,,,,,,,,,,,
607,8,500,1,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,,,,,,,,,,
1000,weapon_iw6_arkalienvks_mp_alienvksscope,-129,-756,88,0,0,0,,,,,,,,,,,,,,,,,,,,,
1001,weapon_iw6_arkalienusr_mp_usrvzscope,1038,428,232,0,335,0,,,,,,,,,,,,,,,,,,,,,
1002,weapon_iw6_arkalienr5rgp_mp,974,299,88,0,320,0,,,,,,,,,,,,,,,,,,,,,
1003,weapon_iw6_arkaliendlc15_mp,-255,-1370,224,0,330,0,,,,,,,,,,,,,,,,,,,,,
1004,weapon_iw6_arkaliendlc23_mp_dlcweap02scope,-175,297,88,0,40,0,,,,,,,,,,,,,,,,,,,,,
1005,weapon_iw6_arkalienk7_mp,1296,-549,232,0,320,0,,,,,,,,,,,,,,,,,,,,,
1006,weapon_iw6_arkalienuts15_mp,397,192,88,0,0,0,,,,,,,,,,,,,,,,,,,,,
1007,weapon_iw6_arkalienmaul_mp,-1008,-1495,270,0,90,0,,,,,,,,,,,,,,,,,,,,,
1008,weapon_iw6_arkalienmk14_mp,-237,432,232,0,210,0,,,,,,,,,,,,,,,,,,,,,
1009,weapon_iw6_arkalienimbel_mp,889,-761,88,0,0,0,,,,,,,,,,,,,,,,,,,,,
1010,weapon_iw6_arkalienkac_mp,-498,-534,232,0,0,0,,,,,,,,,,,,,,,,,,,,,
1011,weapon_iw6_alienrgm_mp,1176,-1207,152,0,0,0,,,,,,,,,,,,,,,,,,,,,
1012,weapon_iw6_arkalienameli_mp,570,-1535,64,0,0,0,,,,,,,,,,,,,,,,,,,,,
4000,407,380,43,,,,,,,,,,,,,,,,,,,,,,,
4001,650,424,112,,,,,,,,,,,,,,,,,,,,,,,
4002,143,425,112,,,,,,,,,,,,,,,,,,,,,,,
4003,1137,262,48,,,,,,,,,,,,,,,,,,,,,,,
4004,-347,269,48,,,,,,,,,,,,,,,,,,,,,,,
4005,-263,45,48,,,,,,,,,,,,,,,,,,,,,,,
4006,986,41,48,,,,,,,,,,,,,,,,,,,,,,,
4007,-355,263,192,,,,,,,,,,,,,,,,,,,,,,,
4008,1381,-250,192,,,,,,,,,,,,,,,,,,,,,,,
4009,396,-241,48,,,,,,,,,,,,,,,,,,,,,,,
4010,-408,-755,48,,,,,,,,,,,,,,,,,,,,,,,
4011,1207,-763,48,,,,,,,,,,,,,,,,,,,,,,,
4012,-299,-1081,48,,,,,,,,,,,,,,,,,,,,,,,
4013,867,-921,49,,,,,,,,,,,,,,,,,,,,,,,
4014,-38,-1178,56,,,,,,,,,,,,,,,,,,,,,,,
4015,-733,-1581,223,,,,,,,,,,,,,,,,,,,,,,,
4016,1383,-1294,118,,,,,,,,,,,,,,,,,,,,,,,
4017,534,-657,17,,,,,,,,,,,,,,,,,,,,,,,
4018,278,-657,17,,,,,,,,,,,,,,,,,,,,,,,
4019,237,-1498,33,,,,,,,,,,,,,,,,,,,,,,,
4020,886,-1527,33,,,,,,,,,,,,,,,,,,,,,,,
4021,-59,-346,48,,,,,,,,,,,,,,,,,,,,,,,
4022,869,395,48,,,,,,,,,,,,,,,,,,,,,,,
4023,-88,395,48,,,,,,,,,,,,,,,,,,,,,,,
4024,-503,-988,192,,,,,,,,,,,,,,,,,,,,,,,
5000,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5001,15,2,deployable_specialammo bonus_cash-trophy-flare-pet_leash,50 50,100 50-50,,,,,,,,,,,,,,,,,,,
5002,15,3,medic_skill-engineer_skill skill_upgrade bonus_score-trophy-flare-pet_leash grace_period,50 10000 50 10000,50-50 100 25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5003,15,2,deployable_specialammo_in bonus_cash-combo_freeze-trophy-flare-pet_leash,50 50,100 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5004,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5005,15,3,deployable_specialammo_explo skill_upgrade bonus_cash-trophy-flare-pet_leash grace_period,10000 10000 50 50,100 100 25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5006,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5007,15,2,deployable_specialammo_ap bonus_cash-trophy-flare-pet_leash,50 50,100 25-25-25-25,,,,,,,,,,,,,,,,,,,
5008,15,3,specialist_skill-tank_skill skill_upgrade bonus_score-trophy-flare-pet_leash grace_period,50 10000 50 10000,50-50 100 25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5009,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5010,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5011,15,3,skill_upgrade bonus_cash-trophy-flare-pet_leash grace_period,33 33 34,100 33-33-34 100,,,,,,,,,,,,,,,,,,,
5012,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5013,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5014,15,3,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash grace_period,33 33 34,50-50 25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5015,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5016,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5017,15,2,bonus_cash-trophy-flare-pet_leash grace_period,50 50,25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5018,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5019,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5020,15,3,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash grace_period,33 33 34,50-50 25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5021,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5022,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5023,15,2,bonus_cash-trophy-flare-pet_leash grace_period,50 50,25-25-25-25 100,,,,,,,,,,,,,,,,,,,
5024,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5025,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5026,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5027,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5028,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5029,15,1,bonus_cash-trophy-flare-pet_leash-grace_period,100,20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5030,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5031,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5032,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5033,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5034,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,,,,,,,
5035,15,1,bonus_cash-trophy-flare-pet_leash-grace_period,100,20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5036,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5037,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5038,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5039,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,,,,,,,
5040,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5041,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5042,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5043,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5044,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5045,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5046,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5047,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5048,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5049,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5050,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5051,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5052,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5053,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5054,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5055,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5056,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5057,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
5058,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,,,,,,,
6000,2622,-1091,-86.2,0,175,0,main_base,underground,32,,,,,,,,,,,,,,,,,,,
6001,1368,888,-96,0,240,0,main_base,underground,32,,,,,,,,,,,,,,,,,,,
6002,656,800,-96,0,210,0,main_base,underground,32,,,,,,,,,,,,,,,,,,,
6003,-400,864,-96,0,270,0,main_base,underground,32,,,,,,,,,,,,,,,,,,,
7000,120,-0.1,,,,,,,,,,,,,,,,,,,,,,
7001,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7002,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7003,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7004,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7005,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7006,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7007,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7008,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7009,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7010,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7011,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7012,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7013,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7014,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
7015,20,-0.1,,,,,,,,,,,,,,,,,,,,,,
