a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,ac28,ad29,ae30,af31,ag32,ah33,ai34,aj35,ak36,al37,am38
23,queen_wall_break,elite,,traverse_group_2,10,canned_traverse,end,,,,traverse_group_2,10,canned_traverse,end,,,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,queen_wall,1,traverse_group_2,10,canned_traverse,end,,,
24,container_spawn_1a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_01,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_01,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_01,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_01,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_01,
25,container_spawn_1b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
26,container_spawn_1c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
27,container_spawn_2a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_02,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_02,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_02,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_02,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_02,
28,container_spawn_2b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
29,container_spawn_2c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
30,container_spawn_3a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_03,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_03,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_03,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_03,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_03,
31,container_spawn_3b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
32,container_spawn_3c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
33,container_spawn_4a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_04,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_04,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_04,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_04,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_04,
34,container_spawn_4b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
35,container_spawn_4c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
36,container_spawn_5a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_05,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_05,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_05,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_05,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_05,
37,container_spawn_5b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
38,container_spawn_5c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
39,container_spawn_6a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_06,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_06,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_06,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_06,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_06,
40,container_spawn_6b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
41,container_spawn_6c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
42,container_spawn_8a,elite,,traverse_group_2,10,canned_traverse,end,,container_spawn_door_08,,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_08,2,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_08,3,cargo_container_spawn,0,cargo_container_spawn,end,,container_spawn_door_08,1,traverse_group_2,10,canned_traverse,end,,container_spawn_door_08,
43,container_spawn_8b,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,1,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
44,container_spawn_8c,elite,,traverse_group_2,10,canned_traverse,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,,cargo_container_spawn,2,cargo_container_spawn,end,,,,cargo_container_spawn,0,cargo_container_spawn,end,,,1,traverse_group_2,10,canned_traverse,end,,,
