a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
42,2,42,30,,,,,,brute,4 4 4,spitter,4 4 4,bomber,4 4 4,,,gargoyle,1 1 1
43,2,43,35,,,,,,brute,4 4 4,,,bomber,4 4 4,,,,
44,2,Tier 12,40,,,,,,brute,4 4 4,spitter,11 11 11,,,elite,3 3 3,locust,1 1 1
45,2,45,45,,,,,,brute,4 4 4,,,,,,,,
46,2,46,50,,,,,,brute,4 4 4,spitter,11 11 11,,,,,gargoyle,1 1 1
47,2,47,55,,,,,,brute,4 4 4,,,,,,,,
48,2,Tier 13,60,18,3,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,elite,2 2 2,locust,1 1 1
49,2,49,65,18,3,,,,brute,8 8 8,,,bomber,4 4 4,,,,
50,2,50,70,18,3,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,,,gargoyle,1 1 1
51,2,51,75,18,3,,,,brute,8 8 8,,,bomber,4 4 4,,,,
52,2,Tier 14,80,18,3,,,,brute,8 8 8,spitter,8 8 8,,,elite,2 2 2,locust,1 1 1
53,2,53,85,18,3,,,,brute,8 8 8,,,,,,,,
54,2,54,90,18,3,,,,brute,8 8 8,spitter,8 8 8,,,,,gargoyle,1 1 1
55,2,55,95,18,3,,,,brute,8 8 8,,,,,,,,
56,2,Tier 15,100,18,3,,,,,,spitter,8 8 8,bomber,4 4 4,elite,2 2 2,locust,1 1 1
57,2,57,105,18,3,,,,,,,,bomber,4 4 4,,,,
58,2,58,110,18,3,,,,,,spitter,8 8 8,bomber,4 4 4,,,gargoyle,1 1 1
59,2,59,115,18,3,,,,,,,,bomber,4 4 4,,,,
60,2,Tier 16,120,18,3,,,,brute,8 8 8,,,bomber,4 4 4,elite,2 2 2,locust,1 1 1
61,2,61,125,18,2,,,,brute,8 8 8,,,bomber,4 4 4,,,,
62,2,62,130,18,2,,,,brute,8 8 8,,,bomber,4 4 4,,,gargoyle,1 1 1
63,2,63,135,18,2,,,,brute,8 8 8,,,bomber,4 4 4,,,,
64,2,Tier 17,140,18,2,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,elite,2 2 2,locust,1 1 1
65,2,65,145,18,2,,,,brute,8 8 8,,,bomber,4 4 4,,,,
66,2,66,150,18,2,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,mammoth,2 2 2,gargoyle,1 1 1
67,2,67,155,18,2,,,,brute,8 8 8,,,bomber,4 4 4,,,,
68,2,Tier 18,160,18,2,,,,brute,12 12 12,spitter,4 4 4,,,elite,2 2 2,locust,1 1 1
69,2,69,165,18,2,,,,brute,12 12 12,,,,,,,,
70,2,70,170,18,2,,,,brute,12 12 12,spitter,4 4 4,,,elite,2 2 2,gargoyle,1 1 1
71,2,71,175,18,2,,,,brute,8 8 8,,,,,,,,
72,3,Tier 19,0,18,1,,,,,,,,bomber,4 4 4,elite,2 2 2,locust,1 1 1
73,3,73,5,18,1,,,,,,,,bomber,4 4 4,,,,
74,3,74,10,18,1,,,,,,,,bomber,4 4 4,elite,2 2 2,gargoyle,1 1 1
75,3,75,15,18,1,,,,,,,,bomber,4 4 4,,,,
76,3,Tier 20,20,18,1,,,,,,spitter,16 16 16,,,mammoth,2 2 2,locust,1 1 1
77,3,77,25,18,1,,,,,,spitter,16 16 16,,,,,,
78,3,78,30,18,1,,,,,,spitter,16 16 16,,,elite,2 2 2,gargoyle,1 1 1
79,3,79,35,18,1,,,,,,spitter,16 16 16,,,,,,
80,3,Tier 21,40,18,1,,,,brute,16 16 16,,,,,elite,2 2 2,locust,1 1 1
81,3,81,45,18,1,,,,brute,16 16 16,,,,,,,,
82,3,82,50,18,1,,,,brute,16 16 16,,,,,elite,2 2 2,gargoyle,1 1 1
83,3,83,55,18,1,,,,brute,16 16 16,,,,,,,,
84,3,Tier 22,60,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,elite,2 2 2,locust,1 1 1
85,3,85,65,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,,,,
86,3,86,70,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,elite,2 2 2,gargoyle,1 1 1
87,3,87,75,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,,,,
88,3,Tier 23,80,18,1,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,elite,2 2 2,locust,1 1 1
89,3,89,85,18,1,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,elite,2 2 2,,
90,3,90,90,18,1,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,elite,2 2 2,gargoyle,1 1 1
91,3,91,95,18,1,,,,brute,8 8 8,spitter,4 4 4,bomber,4 4 4,elite,2 2 2,,
92,3,Tier 24,100,18,1,,,,brute,9 9 9,spitter,3 3 3,bomber,4 4 4,mammoth,2 2 2,locust,1 1 1
93,3,93,105,18,1,,,,brute,9 9 9,spitter,3 3 3,bomber,4 4 4,elite,2 2 2,,
94,3,94,110,18,1,,,,brute,9 9 9,spitter,3 3 3,bomber,4 4 4,elite,2 2 2,gargoyle,1 1 1
95,3,95,115,18,1,,,,brute,9 9 9,spitter,3 3 3,bomber,4 4 4,elite,2 2 2,,
96,3,Tier 25,120,18,1,,,,brute,10 10 10,spitter,3 3 3,bomber,3 3 3,elite,2 2 2,locust,1 1 1
97,3,97,125,18,1,,,,brute,10 10 10,spitter,3 3 3,bomber,3 3 3,elite,2 2 2,,
98,3,98,130,18,1,,,,brute,10 10 10,spitter,3 3 3,bomber,3 3 3,elite,2 2 2,gargoyle,1 1 1
99,3,99,135,18,1,,,,brute,10 10 10,spitter,3 3 3,bomber,3 3 3,elite,2 2 2,,
100,3,Tier 26,140,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,3 3 3,mammoth,2 2 2,locust,1 1 1
101,3,101,145,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,3 3 3,elite,2 2 2,,
102,3,102,150,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,3 3 3,elite,2 2 2,gargoyle,1 1 1
103,3,103,155,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,3 3 3,elite,2 2 2,,
104,3,Tier 27,160,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,elite,2 2 2,locust,1 1 1
105,3,105,165,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,elite,2 2 2,,
106,3,106,170,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,elite,2 2 2,gargoyle,1 1 1
107,3,107,175,18,1,,,,brute,12 12 12,spitter,2 2 2,bomber,2 2 2,elite,2 2 2,,
108,4,Tier 28,0,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,2 2 2,elite,3 3 3,locust,1 1 1
109,4,109,5,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,2 2 2,elite,3 3 3,,
110,4,110,10,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,2 2 2,elite,3 3 3,gargoyle,1 1 1
111,4,111,15,18,1,,,,brute,11 11 11,spitter,2 2 2,bomber,2 2 2,elite,3 3 3,,
112,4,Tier 29,20,18,1,,,,brute,12 12 12,spitter,1 1 1,bomber,2 2 2,elite,3 3 3,locust,1 1 1
113,4,113,25,18,1,,,,brute,12 12 12,spitter,1 1 1,bomber,2 2 2,elite,3 3 3,,
114,4,114,30,18,1,,,,brute,12 12 12,spitter,1 1 1,bomber,2 2 2,elite,3 3 3,gargoyle,1 1 1
115,4,115,35,18,1,,,,brute,12 12 12,spitter,1 1 1,bomber,2 2 2,elite,3 3 3,,
116,4,Tier 30,40,18,1,,,,brute,13 13 13,spitter,1 1 1,bomber,1 1 1,elite,3 3 3,locust,1 1 1
117,4,117,45,18,1,,,,brute,13 13 13,spitter,1 1 1,bomber,1 1 1,elite,3 3 3,,
118,4,118,50,18,1,,,,brute,13 13 13,spitter,1 1 1,bomber,1 1 1,elite,3 3 3,gargoyle,1 1 1
119,4,119,55,18,1,,,,brute,13 13 13,spitter,1 1 1,bomber,1 1 1,elite,3 3 3,,
120,5,Tier 31,60,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,locust,2 2 2
121,5,121,0,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,,
122,5,122,180,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,gargoyle,1 1 1
123,5,123,600,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,,
124,6,Tier 32,60,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,locust,2 2 2
125,6,121,0,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,,
126,6,122,180,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,locust,2 2 2
127,6,123,600,18,1,,,,brute,4 4 4,spitter,4 4 4,bomber,3 3 3,elite,5 5 5,,
128,7,Debug,0,,,,goon,1 1,,,,,,,,,,
129,7,Debug,1,,,,brute,1 1,,,,,,,,,,
130,7,Debug,2,,,,bomber,1 1,,,,,,,,,,
131,7,Debug,3,,,,spitter,1 1,,,,,,,,,,
132,7,Debug,4,,,,elite,1 1,,,,,,,,,,
133,7,Debug,5,,,,brute,10 10,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,1,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,0.5,0.5,1,1,180,start,,,,,,,,,,,
501,2,1,1,1,1,180,3 minutes,,,,,,,,,,,
502,3,2,2,1,1,180,6 minutes,,,,,,,,,,,
503,4,3,2,1,1,180,9 minutes,,,,,,,,,,,
504,5,4,2,1,1,10000,12 minutes,,,,,,,,,,,
505,6,0.5,0.5,1,1,-1,debug,,,,,,,,,,,
600,1,5000,1,,,,,,,,,,,,,,,
601,2,5000,1,,,,,,,,,,,,,,,
602,3,5000,1,,,,,,,,,,,,,,,
603,4,5000,1,,,,,,,,,,,,,,,
604,5,5000,1,,,,,,,,,,,,,,,
605,6,5000,1,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,
900,1,area_01_hive_00 area_01_hive_02 area_01_hive_05,,,,,,,,,,,,,,,,
901,1,area_01_hive_01 area_01_hive_03 area_01_hive_04 area_01_hive_08,,,,,,,,,,,,,,,,
902,1,area_02_hive_01 area_02_hive_02,,,,,,,,,,,,,,,,
903,1,area_02_hive_05 area_02_hive_06,,,,,,,,,,,,,,,,
1000,weapon_iw6_arkalienvks_mp_alienvksscope,-1029,373,972,0,240,0,,,,,,,,,,,,,,,
1001,weapon_iw6_arkalienusr_mp_usrvzscope,-1562,2189,640,0,185,0,,,,,,,,,,,,,,,
1002,weapon_iw6_arkalienr5rgp_mp,-539,1873,928,0,270,0,,,,,,,,,,,,,,,
1003,weapon_iw6_arkaliendlc15_mp,-2271,562,1235,0,295,0,,,,,,,,,,,,,,,
1004,weapon_iw6_arkaliendlc23_mp_dlcweap02scope,-2026,3098,584,0,0,0,,,,,,,,,,,,,,,
1005,weapon_iw6_arkalienk7_mp,-1378,1744,1132,0,0,0,,,,,,,,,,,,,,,
1006,weapon_iw6_arkalienuts15_mp,-2555,3093,704,0,175,0,,,,,,,,,,,,,,,
1007,weapon_iw6_arkalienmaul_mp,-982,1178,760,0,200,0,,,,,,,,,,,,,,,
1008,weapon_iw6_arkalienmk14_mp,-2139,1806,990,0,200,0,,,,,,,,,,,,,,,
1009,weapon_iw6_arkalienimbel_mp,-1236,2586,701,0,230,0,,,,,,,,,,,,,,,
1010,weapon_iw6_arkalienkac_mp,-2115,1889,552,0,230,0,,,,,,,,,,,,,,,
1011,weapon_iw6_alienrgm_mp,-2707,2285,656,0,325,0,,,,,,,,,,,,,,,
1012,weapon_iw6_arkalienameli_mp,-3216,1680,420,0,0,0,,,,,,,,,,,,,,,
4000,-2848,336,1247,,,,,,,,,,,,,,,,,
4001,-1361,235,1067,,,,,,,,,,,,,,,,,
4002,-1584,1136,1156,,,,,,,,,,,,,,,,,
4003,-2098,1079,1128,,,,,,,,,,,,,,,,,
4004,-1245,675,893,,,,,,,,,,,,,,,,,
4005,-1037,1358,746,,,,,,,,,,,,,,,,,
4006,-1097,1863,938,,,,,,,,,,,,,,,,,
4007,-963,2420,756,,,,,,,,,,,,,,,,,
4008,-1609,1505,904,,,,,,,,,,,,,,,,,
4009,-1666,1806,1092,,,,,,,,,,,,,,,,,
4010,-2171,1516,937,,,,,,,,,,,,,,,,,
4011,-3451,1567,379,,,,,,,,,,,,,,,,,
4012,-3061,2338,464,,,,,,,,,,,,,,,,,
4013,-2357,2366,747,,,,,,,,,,,,,,,,,
4014,-1547,2072,879,,,,,,,,,,,,,,,,,
4015,-2221,1518,511,,,,,,,,,,,,,,,,,
4016,-1608,2558,585,,,,,,,,,,,,,,,,,
4017,-1943,2535,557,,,,,,,,,,,,,,,,,
4018,-2540,2922,663,,,,,,,,,,,,,,,,,
4019,-2158,3467,663,,,,,,,,,,,,,,,,,
4020,-1748,3355,663,,,,,,,,,,,,,,,,,
4021,-1554,2853,646,,,,,,,,,,,,,,,,,
5000,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5001,15,2,deployable_specialammo bonus_cash-trophy-flare-pet_leash,50 50,100 50-50,,,,,,,,,,,,,
5002,15,3,medic_skill-engineer_skill skill_upgrade bonus_score-trophy-flare-pet_leash grace_period,50 10000 50 10000,50-50 100 25-25-25-25 100,,,,,,,,,,,,,
5003,15,2,deployable_specialammo_in bonus_cash-combo_freeze-trophy-flare-pet_leash,50 50,100 20-20-20-20-20,,,,,,,,,,,,,
5004,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5005,15,3,deployable_specialammo_explo skill_upgrade bonus_cash-trophy-flare-pet_leash grace_period,10000 10000 50 50,100 100 25-25-25-25 100,,,,,,,,,,,,,
5006,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5007,15,2,deployable_specialammo_ap bonus_cash-trophy-flare-pet_leash,50 50,100 25-25-25-25,,,,,,,,,,,,,
5008,15,3,specialist_skill-tank_skill skill_upgrade bonus_score-trophy-flare-pet_leash grace_period,50 10000 50 10000,50-50 100 25-25-25-25 100,,,,,,,,,,,,,
5009,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,
5010,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5011,15,3,skill_upgrade bonus_cash-trophy-flare-pet_leash grace_period,33 33 34,100 33-33-34 100,,,,,,,,,,,,,
5012,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5013,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5014,15,3,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash grace_period,33 33 34,50-50 25-25-25-25 100,,,,,,,,,,,,,
5015,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5016,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5017,15,2,bonus_cash-trophy-flare-pet_leash grace_period,50 50,25-25-25-25 100,,,,,,,,,,,,,
5018,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5019,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5020,15,3,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash grace_period,33 33 34,50-50 25-25-25-25 100,,,,,,,,,,,,,
5021,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,
5022,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5023,15,2,bonus_cash-trophy-flare-pet_leash grace_period,50 50,25-25-25-25 100,,,,,,,,,,,,,
5024,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5025,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5026,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5027,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5028,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5029,15,1,bonus_cash-trophy-flare-pet_leash-grace_period,100,20-20-20-20-20,,,,,,,,,,,,,
5030,15,2,medic_skill-engineer_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5031,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5032,15,2,specialist_skill-tank_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5033,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,20-20-20-20-20,,,,,,,,,,,,,
5034,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash,50 50,50-50 25-25-25-25,,,,,,,,,,,,,
5035,15,1,bonus_cash-trophy-flare-pet_leash-grace_period,100,20-20-20-20-20,,,,,,,,,,,,,
5036,15,2,specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5037,15,1,bonus_cash-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5038,15,2,medic_skill-engineer_skill bonus_score-trophy-flare-pet_leash-grace_period,50 50,50-50 20-20-20-20-20,,,,,,,,,,,,,
5039,15,1,bonus_cash-combo_freeze-trophy-flare-pet_leash,100,25-25-25-25,,,,,,,,,,,,,
5040,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5041,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5042,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5043,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5044,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5045,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5046,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5047,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5048,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5049,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5050,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5051,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5052,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5053,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5054,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5055,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5056,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5057,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
5058,30,2,medic_skill-engineer_skill-specialist_skill-tank_skill bonus_score-combo_freeze-trophy-flare-pet_leash,50 50,25-25-25-25 20-20-20-20-20,,,,,,,,,,,,,
6000,,,,,,,,,,,,,,,,,,
7000,120,-0.1,,,,,,,,,,,,,,,,
7001,20,-0.1,,,,,,,,,,,,,,,,
7002,20,-0.1,,,,,,,,,,,,,,,,
7003,20,-0.1,,,,,,,,,,,,,,,,
7004,20,-0.1,,,,,,,,,,,,,,,,
7005,20,-0.1,,,,,,,,,,,,,,,,
7006,20,-0.1,,,,,,,,,,,,,,,,
7007,20,-0.1,,,,,,,,,,,,,,,,
7008,20,-0.1,,,,,,,,,,,,,,,,
7009,20,-0.1,,,,,,,,,,,,,,,,
7010,20,-0.1,,,,,,,,,,,,,,,,
7011,20,-0.1,,,,,,,,,,,,,,,,
7012,20,-0.1,,,,,,,,,,,,,,,,
7013,20,-0.1,,,,,,,,,,,,,,,,
