a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,
18,3018,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3019,weapon_assault,WEAPON_BREN,iw6_alienbren,,weapon_bren,PERKS_AR_FULLAUTO,9,weapon_stow_mid_up,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,60,75,65,50,66,img_weap_kriss,weapon_bren
20,3020,weapon_assault,WEAPON_AK12,iw6_alienak12,,weapon_ak12,PERKS_AR_FULLAUTO,9,weapon_stow_mid_up,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,60,75,65,50,66,img_weap_kriss,weapon_ak12
21,3021,weapon_assault,WEAPON_SC2010,iw6_aliensc2010,,weapon_sc2010,PERKS_SNIPER,9,weapon_stow_mid_up,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,60,75,65,50,66,img_weap_kriss,weapon_sc2010
22,3022,weapon_assault,WEAPON_HONEYBADGER,iw6_alienhoneybadger,,weapon_honeybadger,PERKS_AR_FULLAUTO,9,weapon_stow_mid_up,,xmags,barrelrange,grip,silencer,rof,reflex,eotech,firetypesingle,firetypeburst,fmj,,80,50,60,75,66,img_weap_kriss,weapon_honeybadger
23,3023,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3024,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun,,weapon_m320,PERKS_LMG,8,weapon_stow_mid,,,,,,,,,,,,,50,50,50,50,50,,
25,3025,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun1,,weapon_m320,PERKS_LMG,8,weapon_stow_mid,,,,,,,,,,,,,50,50,50,50,50,,
26,3026,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun2,,weapon_m320,PERKS_LMG,10,weapon_stow_mid,,,,,,,,,,,,,50,50,50,50,50,,
27,3027,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun3,,weapon_m320,PERKS_LMG,10,weapon_stow_mid,,,,,,,,,,,,,50,50,50,50,50,,
28,3028,weapon_misc,WEAPON_MINIGUNIW6,iw6_alienminigun4,,weapon_m320,PERKS_LMG,10,weapon_stow_mid,,,,,,,,,,,,,50,50,50,50,50,,
29,3029,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3030,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3031,weapon_projectile,WEAPON_MK32,iw6_alienmk32,,weapon_m320,PERKS_LAUNCHER_GL,8,weapon_stow_mid,,,,,,,,,,,,,50,50,,,,,
32,3032,weapon_projectile,WEAPON_MK32,iw6_alienmk321,,weapon_m320,PERKS_LAUNCHER_GL,8,weapon_stow_mid,,,,,,,,,,,,,50,50,,,,,
33,3033,weapon_projectile,WEAPON_MK32,iw6_alienmk322,,weapon_m320,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,50,50,,,,,
34,3034,weapon_projectile,WEAPON_MK32,iw6_alienmk323,,weapon_m320,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,50,50,,,,,
35,3035,weapon_projectile,WEAPON_MK32,iw6_alienmk324,,weapon_m320,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,50,50,,,,,
36,3036,weapon_projectile,WEAPON_RGM,iw6_alienrgm,2,weapon_rgm,PERKS_LAUNCHER_GL,9.5,weapon_stow_mid,,,,,,,,,,,,,,,,,,,
37,3037,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3038,weapon_projectile,WEAPON_PANZERFAUST3,iw6_alienpanzerfaust3,2,weapon_panzerfaust3,PERKS_LAUNCHER_ROCKET,8,weapon_rpg7_stow,,,,,,,,,,,,,30,70,40,50,50,img_weap_p99,weapon_panzerfaust3
39,3039,weapon_projectile,WEAPON_MAAWS,iw6_alienmaaws,,weapon_missing_image,PERKS_LAUNCHER_ROCKET,8,,,,,,,,,,,,,,50,100,65,10,55,img_weap_p99,weapon_missing_image
40,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3041,weapon_sniper,WEAPON_VKS,iw6_alienvks,,weapon_vks,PERKS_SNIPER_SEMIAUTO,9,weapon_stow_mid_up,,xmags,barrelbored,scope,acog,fmj,vzscope,barrelrange,,,,,85,90,100,40,66,img_weap_kriss,weapon_vks
42,3042,weapon_sniper,WEAPON_L115A3,iw6_alienl115a3,,weapon_l115a3,PERKS_SNIPER,8,weapon_stow_mid,,xmags,barrelbored,scope,acog,fmj,scope,barrelrange,,,,,85,90,100,40,66,img_weap_kriss,weapon_l115a3
43,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3044,weapon_dmr,WEAPON_IMBEL,iw6_alienimbel,,weapon_imbel,PERKS_SNIPER_SEMIAUTO,9,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,ironsight,acog,firetypeburst,fmj,,,,,85,90,100,40,66,img_weap_kriss,weapon_imbel
45,3045,weapon_dmr,WEAPON_G28,iw6_alieng28,,weapon_g28,PERKS_SNIPER_SEMIAUTO,9,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,ironsight,firetypeburst,fmj,,,,,,85,90,100,40,66,img_weap_kriss,weapon_imbel
46,3046,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3047,weapon_shotgun,WEAPON_MTS255,iw6_alienmts255,,weapon_mts255,PERKS_SHOTGUN_SEMIAUTO,10,weapon_stow_mid_up,,barrelrange,grip,silencer,ammoslug,,,,,,,,30,75,25,25,100,img_weap_kriss,weapon_mts255
48,3048,weapon_shotgun,WEAPON_FP6,iw6_alienfp6,,weapon_fp6,PERKS_SHOTGUN_PUMP,10,weapon_stow_mid_up,,xmags,barrelrange,grip,silencer,ammoslug,reflex,eotech,,,,,30,75,25,25,100,img_weap_kriss,weapon_fp6
49,3049,weapon_shotgun,WEAPON_MAUL,iw6_alienmaul,,weapon_maul,PERKS_SHOTGUN_SEMIAUTO,10,weapon_stow_mid_up,,xmags,grip,ammoslug,reflex,eotech,,,,,,,25,70,35,40,100,img_weap_kriss,weapon_maul
50,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3051,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11,,weapon_panzerfaust3,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,,,,,,,
52,3052,weapon_assault,WEAPON_ARX160,iw6_aliendlc13,,weapon_arx160,PERKS_AR_ARX160,9,weapon_stow_mid_up,,xmags,rof,barrelrange,grip,silencer,flashsuppress,firetypeburst,reflex,eotech,acog,,66,54,58,76,65,weapon_arx160_360,weapon_arx160
53,3053,weapon_lmg,WEAPON_LSAT,iw6_aliendlc12,,weapon_lsat,PERKS_LMG_LSAT,8,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,84,44,64,72,45,weapon_lsat_360,weapon_lsat
54,3054,weapon_dmr,WEAPON_SVU,iw6_aliendlc14,,weapon_svu,PERKS_SNIPER_SVU,9,weapon_stow_mid_up,,xmags,firetypeburst,barrelrange,reflex,acog,eotech,thermal,,,,,55,82,88,30,66,weapon_svu_360,weapon_svu
55,3055,weapon_assault,DLC_WEAPON_1,iw6_aliendlc15,,weapon_dlcweap01,DLC_WEAPON_1_DESC,9,weapon_stow_mid_up,,xmags,firetypeburst,grip,reflex,acog,eotech,thermal,flashsuppress,silencer,barrelrange,,69,63,58,53,65,weapon_dlcweap01_360,weapon_dlcweap01
56,3056,weapon_assault,WEAPON_ARX160,iw6_altalienarx,,weapon_arx160,PERKS_AR_ARX160,9,weapon_stow_mid_up,,xmags,rof,barrelrange,grip,silencer,flashsuppress,firetypeburst,reflex,eotech,acog,,66,54,58,76,65,weapon_arx160_360,weapon_arx160
57,3057,weapon_lmg,WEAPON_LSAT,iw6_altalienlsat,,weapon_lsat,PERKS_LMG_LSAT,8,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,84,44,64,72,45,weapon_lsat_360,weapon_lsat
58,3058,weapon_dmr,WEAPON_SVU,iw6_altaliensvu,,weapon_svu,PERKS_SNIPER_SVU,9,weapon_stow_mid_up,,xmags,firetypeburst,barrelrange,reflex,acog,eotech,thermal,,,,,55,82,88,30,66,weapon_svu_360,weapon_svu
59,3059,weapon_assault,DLC_WEAPON_1,iw6_altalienmaverick,,weapon_dlcweap01,DLC_WEAPON_1_DESC,9,weapon_stow_mid_up,,xmags,firetypeburst,grip,reflex,acog,eotech,thermal,flashsuppress,silencer,barrelrange,,69,63,58,53,65,weapon_dlcweap01_360,weapon_dlcweap01
60,3060,weapon_smg,DLC_WEAPON_2,iw6_aliendlc23,,weapon_dlcweap02,DLC_WEAPON_2_DESC,10,weapon_stow_mid,,xmags,fmj,rof,grip,flashsuppress,silencer,barrelrange,,,,,75,40,38,88,85,weapon_dlcweap02_360,weapon_dlcweap02
61,3061,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3062,weapon_lmg,WEAPON_M27,iw6_alienm27,,weapon_m27,PERKS_LMG,8,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,50,80,75,80,33,img_weap_kriss,weapon_m27
63,3063,weapon_misc,WEAPON_AXE,alienaxe_mp,,weapon_riotshield,PERKS_RIOT_SHIELD,10,,,,,,,,,,,,,,40,50,40,80,100,img_weap_kriss,weapon_kriss
64,3064,weapon_misc,WEAPON_LASERDRILL,alienbomb_mp,,weapon_m320,PERKS_LMG,8,weapon_rpg7_stow,,,,,,,,,,,,,50,50,50,50,50,,
65,3065,weapon_misc,WEAPON_SOFLAM,aliensoflam_mp,,weapon_m320,PERKS_LMG,10,weapon_stow_mid,,,,,,,,,,,,,50,50,50,50,50,,
66,3066,weapon_pistol,WEAPON_MP443,iw6_alienmp443,,weapon_p226,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,akimbo,tactical,barrelrange,xmags,,,,,,,,27,62,72,85,100,img_weap_p99,weapon_mp412
67,3067,weapon_lmg,WEAPON_KAC,iw6_alienkac,,weapon_kac,PERKS_LMG,8,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,eotech,reflex,acog,fmj,,50,80,75,80,33,img_weap_kriss,weapon_m27
68,3068,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3069,weapon_pistol,WEAPON_MAGNUM,iw5_alienmagnum,,weapon_magnum,PERKS_PISTOL_REVOLVER,10,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,akimbo,fmj,tactical,,,,,,35,70,45,85,100,img_weap_p99,weapon_magnum
70,3070,weapon_pistol,WEAPON_M9A1,iw5_alienm9a1,,weapon_alienm9a1,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,55,30,60,85,100,img_weap_p99,weapon_m9a1
71,3071,weapon_pistol,WEAPON_P226,iw5_alienp226,,weapon_p226,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,55,30,60,85,100,img_weap_p99,weapon_p226
72,3072,weapon_pistol,WEAPON_MP443,iw5_alienmp443,,weapon_p226,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,akimbo,tactical,barrelrange,xmags,,,,,,,,27,62,72,85,100,img_weap_p99,weapon_mp412
73,3073,,,specialty_null,,specialty_ks_null,,,,,,,,,,,,,,,,,,,,,specialty_ks_null,specialty_ks_null
74,3074,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11fi,,weapon_panzerfaust3,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,,,,,,,
75,3075,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11li,,weapon_panzerfaust3,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,,,,,,,
76,3076,weapon_projectile,WEAPON_ZEPOL,iw6_alienDLC11sp,,weapon_panzerfaust3,PERKS_LAUNCHER_GL,10,weapon_stow_mid,,,,,,,,,,,,,,,,,,,
77,3077,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3078,weapon_assault,DLC_WEAPON_1,iw6_arkaliendlc15,,weapon_dlcweap01,,9,weapon_stow_mid_up,,xmags,firetypeburst,grip,reflex,acog,eotech,thermal,flashsuppress,alienmuzzlebrake,barrelrange,,69,63,58,53,65,weapon_dlcweap01_360,weapon_dlcweap01
79,3079,weapon_dmr,WEAPON_IMBEL,iw6_arkalienimbel,,weapon_imbel,PERKS_SNIPER_SEMIAUTO,9,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,ironsight,acog,firetypeburst,fmj,alienmuzzlebrake,,,,85,90,100,40,66,img_weap_kriss,weapon_imbel
80,3080,weapon_lmg,WEAPON_KAC,iw6_arkalienkac,,weapon_kac,PERKS_LMG,8,weapon_stow_mid,,xmags,rof,barrelrange,grip,alienmuzzlebrake,flashsuppress,eotech,reflex,acog,fmj,,50,80,75,80,33,img_weap_kriss,weapon_m27
81,3081,weapon_smg,DLC_WEAPON_2,iw6_arkaliendlc23,,weapon_dlcweap02,DLC_WEAPON_2_DESC,10,weapon_stow_mid,,xmags,fmj,rof,grip,flashsuppress,silencer,barrelrange,alienmuzzlebrake,,,,75,40,38,88,85,weapon_dlcweap02_360,weapon_dlcweap02
82,3082,weapon_shotgun,WEAPON_MAUL,iw6_arkalienmaul,,weapon_maul,PERKS_SHOTGUN_SEMIAUTO,10,weapon_stow_mid_up,,xmags,grip,ammoslug,reflex,eotech,alienmuzzlebrake,,,,,,25,70,35,40,100,img_weap_kriss,weapon_maul
83,3083,weapon_sniper,WEAPON_VKS,iw6_arkalienvks,,weapon_vks,PERKS_SNIPER_SEMIAUTO,9,weapon_stow_mid_up,,xmags,barrelbored,scope,acog,fmj,vzscope,barrelrange,alienmuzzlebrake,,,,85,90,100,40,66,img_weap_kriss,weapon_vks
84,3084,weapon_sniper,WEAPON_USR,iw6_arkalienusr,,weapon_usr,PERKS_SNIPER_USR,9,weapon_stow_mid_up,,xmags,fmj,acog,thermal,vzscope,silencer,barrelbored,alienmuzzlebrake,,,,98,92,95,20,63,weapon_usr_360,weapon_usr
85,3085,weapon_assault,WEAPON_R5RGP,iw6_arkalienr5rgp,,weapon_r5rgp,PERKS_AR_R5RGP,9,weapon_stow_mid_up,,firetypeburst,grip,reflex,acog,eotech,thermal,barrelrange,alienmuzzlebrake,,,,71,61,77,50,65,weapon_r5rgp_360,weapon_r5rgp
86,3086,weapon_smg,WEAPON_K7,iw6_arkalienk7,,weapon_k7_ui,PERKS_SMG_K7,10,weapon_stow_mid_up,,rof,grip,reflex,acog,eotech,thermal,alienmuzzlebrake,,,,,70,35,36,83,85,weapon_k7_ui_360,weapon_k7_ui
87,3087,weapon_shotgun,WEAPON_UTS15,iw6_arkalienuts15,,weapon_uts15,PERKS_SHOTGUN_UTS15,10,weapon_stow_mid_up,,grip,barrelrange,reflex,eotech,,,alienmuzzlebrake,,,,,28,95,28,18,85,weapon_uts15_360,weapon_uts15
88,3088,weapon_dmr,WEAPON_MK14,iw6_arkalienmk14,,weapon_mk14,PERKS_SNIPER_MK14,9,weapon_stow_mid_up,,firetypeburst,barrelrange,reflex,acog,eotech,thermal,alienmuzzlebrake,,,,,65,85,84,35,64,weapon_mk14_360,weapon_mk14
89,3089,weapon_lmg,WEAPON_AMELI,iw6_arkalienameli,,weapon_ameli,PERKS_LMG_AMELI,8,weapon_stow_mid,,xmags,rof,barrelrange,reflex,acog,eotech,thermal,grip,alienmuzzlebrake,,,82,64,71,53,45,weapon_ameli_360,weapon_ameli
90,3090,weapon_projectile,WEAPON_PANZERFAUST3,iw6_aliendlc41,,weapon_panzerfaust3,PERKS_LAUNCHER_ROCKET,10,weapon_rpg7_stow,,,,,,,,,,,,,30,70,40,50,50,img_weap_p99,weapon_panzerfaust3
