zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr
default,autodog,4400,highshelf,-6,1,,
default,explosiveimpact,4400,highshelf,-6,1,,
default,explosion1,4800,highshelf,-6,1,,
default,explosion2,5800,highshelf,-6,1,,
default,explosion3,7000,highshelf,-3,1,,
default,explosion4,3000,highshelf,-6,1,,
default,explosion5,2500,highshelf,-6,1,,
default,bulletimpact,3500,highshelf,-6,1,,
default,bulletflesh1,3500,highshelf,-6,1,,
default,bulletflesh2,3500,highshelf,-6,1,,
interior,voice,3000,highshelf,-6,1,,
interior,weapon,3500,highshelf,-9,1,,
interior,weapon_mid,4500,highshelf,-9,1,,
interior,vehicle,3500,highshelf,-9,1,,
interior,aircraft,4500,highshelf,-9,1,,
interior,physics,4500,highshelf,-6,1,,
interior,body,2200,highshelf,-9,1,,
interior,alarm,3500,highshelf,-12,1,,
interior,reload,2200,highshelf,-9,1,,
interior,auto,2200,highshelf,-9,1,,
interior,auto2,3000,highshelf,-6,1,,
interior,explosiveimpact,3000,highshelf,-9,1,,
interior,explosion1,2800,highshelf,-12,1,,
interior,explosion2,3800,highshelf,-9,1,,
interior,explosion3,5000,highshelf,-6,1,,
interior,explosion4,1000,highshelf,-12,1,,
interior,explosion5,1000,highshelf,-12,1,,
interior,explosiondist1,5000,highshelf,-6,1,,
interior,explosiondist2,5000,highshelf,-6,1,,
interior,bulletimpact,1500,highshelf,-6,1,,
interior,bulletflesh1,1500,highshelf,-6,1,,
interior,bulletflesh1,1500,highshelf,-6,1,,
filter_name,channel,band,type,freq,gain,q,
interior_wood,element_ext,0,highshelf,1000,-12,1,
interior_wood,ambient,0,highshelf,1000,-12,1,
interior_metal,element_ext,0,highshelf,1000,-12,1,
interior_metal,ambient,0,highshelf,1000,-12,1,
default,element_int,0,highshelf,1000,-12,1,
default,element_ext,0,highshelf,20000,-12,1,
default,ambient,0,highshelf,20000,-12,1,
default,ambdist1,0,highshelf,20000,-12,1,
default,ambdist2,0,highshelf,20000,-12,1,
painvision,physics,0,highshelf,2800,-12,1,
painvision,physics,1,lowshelf,1000,-6,1,
painvision,ambdist1,0,highshelf,2800,-12,1,
painvision,ambdist1,1,lowshelf,1000,-6,1,
painvision,ambdist2,0,highshelf,2800,-12,1,
painvision,ambdist2,1,lowshelf,1000,-6,1,
painvision,auto,0,highshelf,2800,-12,1,
painvision,auto,1,lowshelf,1000,-6,1,
painvision,auto2,0,highshelf,2800,-12,1,
painvision,auto2,1,lowshelf,1000,-6,1,
painvision,autodog,0,highshelf,2800,-12,1,
painvision,autodog,1,lowshelf,1000,-6,1,
painvision,explosiveimpact,0,highshelf,2800,-12,1,
painvision,explosiveimpact,1,lowshelf,1000,-6,1,
painvision,element,0,highshelf,2800,-12,1,
painvision,element,1,lowshelf,1000,-6,1,
painvision,vehicle,0,highshelf,2800,-12,1,
painvision,vehicle,1,lowshelf,1000,-6,1,
painvision,vehiclelimited,0,highshelf,2800,-12,1,
painvision,vehiclelimited,1,lowshelf,1000,-6,1,
painvision,body,0,highshelf,2800,-12,1,
painvision,body,1,lowshelf,1000,-6,1,
painvision,reload,0,highshelf,2800,-12,1,
painvision,reload,1,lowshelf,1000,-6,1,
painvision,effects1,0,highshelf,2800,-12,1,
painvision,effects1,1,lowshelf,1000,-6,1,
painvision,effects2,0,highshelf,2800,-12,1,
painvision,effects2,1,lowshelf,1000,-6,1,
painvision,weapon,0,highshelf,2800,-12,1,
painvision,weapon,1,lowshelf,1000,-6,1,
painvision,voice,0,highshelf,2800,-12,1,
painvision,voice,1,lowshelf,1000,-6,1,
interior,element_ext,0,highshelf,1500,-12,1,
interior,ambient,0,highshelf,1500,-12,1,
interior,ambdist1,0,highshelf,1500,-12,1,
interior,ambdist2,0,highshelf,1500,-12,1,
interior_light,element_ext,0,highshelf,3000,-12,1,
interior_light,ambient,0,highshelf,3000,-12,1,
interior_light,ambdist1,0,highshelf,3000,-12,1,
interior_light,ambdist2,0,highshelf,3000,-12,1,
interior_heavy,element_ext,0,highshelf,500,-12,1,
interior_heavy,ambient,0,highshelf,500,-12,1,
interior_heavy,ambdist1,0,highshelf,500,-12,1,
interior_heavy,ambdist2,0,highshelf,500,-12,1,
interior_satellite,music_emitter,0,highshelf,3000,-3,1,
helo_gunner_filter,auto,0,highshelf,2000,-12,1,
helo_gunner_filter,vehicle,0,highshelf,2000,-12,1,
helo_gunner_filter,bulletwhizbyin,0,highshelf,2000,-9,1,
helo_gunner_filter,bulletwhizbyout,0,highshelf,2000,-9,1,
helo_gunner_filter,bulletimpact,0,highshelf,3800,-9,1,
helo_gunner_filter,weapon,0,highshelf,4300,-9,1,
helo_gunner_filter,weapon_mid,0,highshelf,4300,-9,1,
helo_gunner_filter,explosion1,0,highshelf,4300,-9,1,
helo_gunner_filter,explosion2,0,highshelf,4300,-9,1,
helo_gunner_filter,explosion3,0,highshelf,4300,-9,1,
helo_gunner_filter,explosion4,0,highshelf,4300,-9,1,
helo_gunner_filter,explosion5,0,highshelf,4300,-9,1,
helo_gunner_filter,effects1,0,highshelf,4300,-9,1,
helo_gunner_filter,effects2,0,highshelf,4300,-9,1,
helo_gunner_filter,effects3,0,highshelf,4300,-9,1,
helo_gunner_filter,explosiondist1,0,highshelf,5000,-9,1,
helo_gunner_filter,element_ext,0,highshelf,1500,-12,1,
gryphon_filter,physics,0,highshelf,4000,-3,1,
gryphon_filter,ambdist1,0,highshelf,4000,-3,1,
gryphon_filter,ambdist2,0,highshelf,4000,-3,1,
gryphon_filter,alarm,0,highshelf,4000,-3,1,
gryphon_filter,auto,0,highshelf,4000,-3,1,
gryphon_filter,auto2,0,highshelf,4000,-3,1,
gryphon_filter,explosiondist1,0,highshelf,4000,-3,1,
gryphon_filter,explosiondist2,0,highshelf,4000,-3,1,
gryphon_filter,explosiveimpact,0,highshelf,4000,-3,1,
gryphon_filter,element,0,highshelf,4000,-3,1,
gryphon_filter,element_ext,0,highshelf,4000,-3,1,
gryphon_filter,element_int,0,highshelf,4000,-3,1,
gryphon_filter,foley_npc_mvmt,0,highshelf,4000,-3,1,
gryphon_filter,foley_npc_weap,0,highshelf,4000,-3,1,
gryphon_filter,foley_dog_mvmt,0,highshelf,4000,-3,1,
gryphon_filter,voice_dog_dist,0,highshelf,4000,-3,1,
gryphon_filter,bulletflesh1npc_npc,0,highshelf,4000,-3,1,
gryphon_filter,bulletflesh2npc_npc,0,highshelf,4000,-3,1,
gryphon_filter,bulletimpact,0,highshelf,4000,-3,1,
gryphon_filter,bulletflesh1npc,0,highshelf,4000,-3,1,
gryphon_filter,bulletflesh2npc,0,highshelf,4000,-3,1,
gryphon_filter,bulletflesh1,0,highshelf,4000,-3,1,
gryphon_filter,bulletflesh2,0,highshelf,4000,-3,1,
gryphon_filter,bulletwhizbyin,0,highshelf,4000,-3,1,
gryphon_filter,bulletwhizbyout,0,highshelf,4000,-3,1,
gryphon_filter,body,0,highshelf,4000,-3,1,
gryphon_filter,body2d,0,highshelf,4000,-3,1,
gryphon_filter,reload,0,highshelf,4000,-3,1,
gryphon_filter,foley_npc_step,0,highshelf,4000,-3,1,
gryphon_filter,foley_dog_step,0,highshelf,4000,-3,1,
gryphon_filter,explosion1,0,highshelf,4000,-3,1,
gryphon_filter,explosion2,0,highshelf,4000,-3,1,
gryphon_filter,explosion3,0,highshelf,4000,-3,1,
gryphon_filter,explosion4,0,highshelf,4000,-3,1,
gryphon_filter,explosion5,0,highshelf,4000,-3,1,
gryphon_filter,effects1,0,highshelf,4000,-3,1,
gryphon_filter,effects2,0,highshelf,4000,-3,1,
gryphon_filter,effects3,0,highshelf,4000,-3,1,
gryphon_filter,nonshock,0,highshelf,4000,-3,1,
gryphon_filter,nonshock2,0,highshelf,4000,-3,1,
gryphon_filter,vehicle,0,highshelf,4000,-3,1,
gryphon_filter,vehiclelimited,0,highshelf,4000,-3,1,
gryphon_filter,aircraft,0,highshelf,4000,-3,1,
gryphon_filter,body,0,highshelf,4000,-3,1,
gryphon_filter,weapon,0,highshelf,4000,-3,1,
gryphon_filter,weapon_mid,0,highshelf,4000,-3,1,
gryphon_filter,weapon_dist,0,highshelf,4000,-3,1,
gryphon_filter,voice,0,highshelf,4000,-3,1,
gryphon_filter,missionfx,0,highshelf,4000,-3,1,
gryphon_filter,ambient,0,highshelf,4000,-3,1,
gryphon_filter,physics,1,lowshelf,1000,-9,1,
gryphon_filter,ambdist1,1,lowshelf,1000,-9,1,
gryphon_filter,ambdist2,1,lowshelf,1000,-9,1,
gryphon_filter,alarm,1,lowshelf,1000,-9,1,
gryphon_filter,auto,1,lowshelf,1000,-9,1,
gryphon_filter,auto2,1,lowshelf,1000,-9,1,
gryphon_filter,autodog,1,lowshelf,1000,-9,1,
gryphon_filter,explosiondist1,1,lowshelf,1000,-9,1,
gryphon_filter,explosiondist2,1,lowshelf,1000,-9,1,
gryphon_filter,explosiveimpact,1,lowshelf,1000,-9,1,
gryphon_filter,element,1,lowshelf,1000,-9,1,
gryphon_filter,element_ext,1,lowshelf,1000,-9,1,
gryphon_filter,element_int,1,lowshelf,1000,-9,1,
gryphon_filter,foley_npc_mvmt,1,lowshelf,1000,-9,1,
gryphon_filter,foley_npc_weap,1,lowshelf,1000,-9,1,
gryphon_filter,foley_dog_mvmt,1,lowshelf,1000,-9,1,
gryphon_filter,voice_dog_dist,1,lowshelf,1000,-9,1,
gryphon_filter,bulletflesh1npc_npc,1,lowshelf,1000,-9,1,
gryphon_filter,bulletflesh2npc_npc,1,lowshelf,1000,-9,1,
gryphon_filter,bulletimpact,1,lowshelf,1000,-9,1,
gryphon_filter,bulletflesh1npc,1,lowshelf,1000,-9,1,
gryphon_filter,bulletflesh2npc,1,lowshelf,1000,-9,1,
gryphon_filter,bulletflesh1,1,lowshelf,1000,-9,1,
gryphon_filter,bulletflesh2,1,lowshelf,1000,-9,1,
gryphon_filter,bulletwhizbyin,1,lowshelf,1000,-9,1,
gryphon_filter,bulletwhizbyout,1,lowshelf,1000,-9,1,
gryphon_filter,body,1,lowshelf,1000,-9,1,
gryphon_filter,body2d,1,lowshelf,1000,-9,1,
gryphon_filter,reload,1,lowshelf,1000,-9,1,
gryphon_filter,foley_npc_step,1,lowshelf,1000,-9,1,
gryphon_filter,foley_dog_step,1,lowshelf,1000,-9,1,
gryphon_filter,explosion1,1,lowshelf,1000,-9,1,
gryphon_filter,explosion2,1,lowshelf,1000,-9,1,
gryphon_filter,explosion3,1,lowshelf,1000,-9,1,
gryphon_filter,explosion4,1,lowshelf,1000,-9,1,
gryphon_filter,explosion5,1,lowshelf,1000,-9,1,
gryphon_filter,effects1,1,lowshelf,1000,-9,1,
gryphon_filter,effects2,1,lowshelf,1000,-9,1,
gryphon_filter,effects3,1,lowshelf,1000,-9,1,
gryphon_filter,nonshock,1,lowshelf,1000,-9,1,
gryphon_filter,nonshock2,1,lowshelf,1000,-9,1,
gryphon_filter,vehicle,1,lowshelf,1000,-9,1,
gryphon_filter,vehiclelimited,1,lowshelf,1000,-9,1,
gryphon_filter,aircraft,1,lowshelf,1000,-9,1,
gryphon_filter,body,1,lowshelf,1000,-9,1,
gryphon_filter,weapon,1,lowshelf,1000,-9,1,
gryphon_filter,weapon_mid,1,lowshelf,1000,-9,1,
gryphon_filter,weapon_dist,1,lowshelf,1000,-9,1,
gryphon_filter,voice,1,lowshelf,1000,-9,1,
gryphon_filter,ambient,1,lowshelf,1000,-9,1,
mix_name,mix_bus,volume,fade,,,,
mp_killcam_slomo,ambience,0,0.1,,,,
mp_killcam_slomo,ambience_dist,0,0.1,,,,
mp_killcam_slomo,element,0,0.1,,,,
mp_killcam_slomo,emitter,0,0.1,,,,
mp_killcam_slomo,physics,0,0.1,,,,
mp_killcam_slomo,bodyfall,0,0.1,,,,
mp_killcam_slomo,foley_plr,0,0.1,,,,
mp_killcam_slomo,foleymp_plr,0,0.1,,,,
mp_killcam_slomo,foley_npc,0,0.1,,,,
mp_killcam_slomo,foleymp_npc,0,0.1,,,,
mp_killcam_slomo,foley_wpn_plr,0,0.1,,,,
mp_killcam_slomo,foley_wpn_npc,0,0.1,,,,
mp_killcam_slomo,footstep_plr,0,0.1,,,,
mp_killcam_slomo,footstep_npc,0,0.1,,,,
mp_killcam_slomo,footstepmp_plr,0,0.1,,,,
mp_killcam_slomo,footstepmp_npc,0,0.1,,,,
mp_killcam_slomo,melee_plr,0,0.1,,,,
mp_killcam_slomo,melee_npc,0,0.1,,,,
mp_killcam_slomo,chatteral,0,0.1,,,,
mp_killcam_slomo,chatterax,0,0.1,,,,
mp_killcam_slomo,reactional,0,0.1,,,,
mp_killcam_slomo,reactionax,0,0.1,,,,
mp_killcam_slomo,voiceover,0,0.1,,,,
mp_killcam_slomo,voiceover_radio,0,0.1,,,,
mp_killcam_slomo,voiceover_critical,0,0.1,,,,
mp_killcam_slomo,voiceover_amb,0,0.1,,,,
mp_killcam_slomo,destruct,0,0.1,,,,
mp_killcam_slomo,explosion,0,0.1,,,,
mp_killcam_slomo,explosion_grenade,0,0.1,,,,
mp_killcam_slomo,explosion_flashbang,0,0.1,,,,
mp_killcam_slomo,explosion_rocket,0,0.1,,,,
mp_killcam_slomo,explosion_car,0,0.1,,,,
mp_killcam_slomo,rex_emitters,0,0.1,,,,
mp_killcam_slomo,impact,0,0.1,,,,
mp_killcam_slomo,impact_plr,0,0.1,,,,
mp_killcam_slomo,impact_npc,0,0.1,,,,
mp_killcam_slomo,impactmp,0,0.1,,,,
mp_killcam_slomo,impactmp_plr,0,0.1,,,,
mp_killcam_slomo,impactmp_npc,0,0.1,,,,
mp_killcam_slomo,whizby,0,0.1,,,,
mp_killcam_slomo,whizbymp,0,0.1,,,,
mp_killcam_slomo,vehicle_plr,0,0.1,,,,
mp_killcam_slomo,vehicle_npc,0,0.1,,,,
mp_killcam_slomo,vehicle_wpn_plr,0,0.1,,,,
mp_killcam_slomo,vehicle_wpn_npc,0,0.1,,,,
mp_killcam_slomo,vehicle,0,0.1,,,,
mp_killcam_slomo,grenadebounce,0,0.1,,,,
mp_killcam_slomo,grenadebouncemp,0,0.1,,,,
mp_killcam_slomo,shellcasings,0,0.1,,,,
mp_killcam_slomo,shellcasingsmp,0,0.1,,,,
mp_killcam_slomo,wpn_plr,0,0.1,,,,
mp_killcam_slomo,wpnmp_plr,0,0.1,,,,
mp_killcam_slomo,wpn_npc,0,0.1,,,,
mp_killcam_slomo,wpnmp_npc,0,0.1,,,,
mp_killcam_slomo,wpn_projectile,0,0.1,,,,
mp_killcam_slomo,wpnmp_projectile,0,0.1,,,,
mp_killcam_slomo,na,0,0.1,,,,
mp_killcam_slomo,max,0,0.1,,,,
mp_killcam_slomo,scripted1,0,0.1,,,,
mp_killcam_slomo,scripted2,0,0.1,,,,
mp_killcam_slomo,scripted3,0,0.1,,,,
mp_killcam_slomo,scripted4,0,0.1,,,,
mp_killcam_slomo,scripted5,0,0.1,,,,
mp_killcam_slomo,fullvolume,1,0.1,,,,
mp_killcam_slomo,perkmp_quiet,0,0.1,,,,
mp_killcam_slomo,default,0,0.1,,,,
killcam_slomo,ambience,0,0.1,,,,
killcam_slomo,ambience_dist,0,0.1,,,,
killcam_slomo,element,0,0.1,,,,
killcam_slomo,emitter,0,0.1,,,,
killcam_slomo,physics,0,0.1,,,,
killcam_slomo,bodyfall,0,0.1,,,,
killcam_slomo,foley_plr,0,0.1,,,,
killcam_slomo,foleymp_plr,0,0.1,,,,
killcam_slomo,foley_npc,0,0.1,,,,
killcam_slomo,foleymp_npc,0,0.1,,,,
killcam_slomo,foley_wpn_plr,0,0.1,,,,
killcam_slomo,foley_wpn_npc,0,0.1,,,,
killcam_slomo,footstep_plr,0,0.1,,,,
killcam_slomo,footstep_npc,0,0.1,,,,
killcam_slomo,footstepmp_plr,0,0.1,,,,
killcam_slomo,footstepmp_npc,0,0.1,,,,
killcam_slomo,melee_plr,0,0.1,,,,
killcam_slomo,melee_npc,0,0.1,,,,
killcam_slomo,chatteral,0,0.1,,,,
killcam_slomo,chatterax,0,0.1,,,,
killcam_slomo,reactional,0,0.1,,,,
killcam_slomo,reactionax,0,0.1,,,,
killcam_slomo,voiceover,0,0.1,,,,
killcam_slomo,voiceover_radio,0,0.1,,,,
killcam_slomo,voiceover_critical,0,0.1,,,,
killcam_slomo,voiceover_amb,0,0.1,,,,
killcam_slomo,destruct,0,0.1,,,,
killcam_slomo,explosion,0,0.1,,,,
killcam_slomo,explosion_grenade,0,0.1,,,,
killcam_slomo,explosion_flashbang,0,0.1,,,,
killcam_slomo,explosion_rocket,0,0.1,,,,
killcam_slomo,explosion_car,0,0.1,,,,
killcam_slomo,rex_emitters,0,0.1,,,,
killcam_slomo,impact,0,0.1,,,,
killcam_slomo,impact_plr,0,0.1,,,,
killcam_slomo,impact_npc,0,0.1,,,,
killcam_slomo,impactmp,0,0.1,,,,
killcam_slomo,impactmp_plr,0,0.1,,,,
killcam_slomo,impactmp_npc,0,0.1,,,,
killcam_slomo,whizby,0,0.1,,,,
killcam_slomo,whizbymp,0,0.1,,,,
killcam_slomo,vehicle_plr,0,0.1,,,,
killcam_slomo,vehicle_npc,0,0.1,,,,
killcam_slomo,vehicle_wpn_plr,0,0.1,,,,
killcam_slomo,vehicle_wpn_npc,0,0.1,,,,
killcam_slomo,vehicle,0,0.1,,,,
killcam_slomo,grenadebounce,0,0.1,,,,
killcam_slomo,grenadebouncemp,0,0.1,,,,
killcam_slomo,shellcasings,0,0.1,,,,
killcam_slomo,shellcasingsmp,0,0.1,,,,
killcam_slomo,wpn_plr,0,0.1,,,,
killcam_slomo,wpnmp_plr,0,0.1,,,,
killcam_slomo,wpn_npc,0,0.1,,,,
killcam_slomo,wpnmp_npc,0,0.1,,,,
killcam_slomo,wpn_projectile,0,0.1,,,,
killcam_slomo,wpnmp_projectile,0,0.1,,,,
killcam_slomo,na,0,0.1,,,,
killcam_slomo,max,0,0.1,,,,
killcam_slomo,scripted1,0,0.1,,,,
killcam_slomo,scripted2,0,0.1,,,,
killcam_slomo,scripted3,0,0.1,,,,
killcam_slomo,scripted4,0,0.1,,,,
killcam_slomo,scripted5,0,0.1,,,,
killcam_slomo,fullvolume,1,0.1,,,,
killcam_slomo,perkmp_quiet,0,0.1,,,,
killcam_slomo,default,0,0.1,,,,
satellite_mix,ambience_dist,0,0.1,,,,
satellite_mix,element,0,0.1,,,,
satellite_mix,emitter,0,0.1,,,,
satellite_mix,physics,0,0.1,,,,
satellite_mix,bodyfall,0,0.1,,,,
satellite_mix,foley_plr,0,0.1,,,,
satellite_mix,foleymp_plr,0,0.1,,,,
satellite_mix,foley_npc,0,0.1,,,,
satellite_mix,foleymp_npc,0,0.1,,,,
satellite_mix,foley_wpn_plr,0,0.1,,,,
satellite_mix,foley_wpn_npc,0,0.1,,,,
satellite_mix,footstep_plr,0,0.1,,,,
satellite_mix,footstep_npc,0,0.1,,,,
satellite_mix,footstepmp_plr,0,0.1,,,,
satellite_mix,footstepmp_npc,0,0.1,,,,
satellite_mix,melee_plr,0,0.1,,,,
satellite_mix,melee_npc,0,0.1,,,,
satellite_mix,chatteral,0,0.1,,,,
satellite_mix,chatterax,0,0.1,,,,
satellite_mix,reactional,0,0.1,,,,
satellite_mix,reactionax,0,0.1,,,,
satellite_mix,voiceover,0,0.1,,,,
satellite_mix,voiceover_critical,0,0.1,,,,
satellite_mix,voiceover_amb,0,0.1,,,,
satellite_mix,destruct,0,0.1,,,,
satellite_mix,explosion,0,0.1,,,,
satellite_mix,explosion_grenade,0,0.1,,,,
satellite_mix,explosion_flashbang,0,0.1,,,,
satellite_mix,explosion_rocket,0,0.1,,,,
satellite_mix,explosion_car,0,0.1,,,,
satellite_mix,rex_emitters,0,0.1,,,,
satellite_mix,impact,0,0.1,,,,
satellite_mix,impact_plr,0,0.1,,,,
satellite_mix,impact_npc,0,0.1,,,,
satellite_mix,impactmp,0,0.1,,,,
satellite_mix,impactmp_plr,0,0.1,,,,
satellite_mix,impactmp_npc,0,0.1,,,,
satellite_mix,whizby,0,0.1,,,,
satellite_mix,whizbymp,0,0.1,,,,
satellite_mix,vehicle_plr,0,0.1,,,,
satellite_mix,vehicle_npc,0,0.1,,,,
satellite_mix,vehicle_wpn_plr,0,0.1,,,,
satellite_mix,vehicle_wpn_npc,0,0.1,,,,
satellite_mix,vehicle,0,0.1,,,,
satellite_mix,grenadebounce,0,0.1,,,,
satellite_mix,grenadebouncemp,0,0.1,,,,
satellite_mix,shellcasings,0,0.1,,,,
satellite_mix,shellcasingsmp,0,0.1,,,,
satellite_mix,wpn_plr,0,0.1,,,,
satellite_mix,wpnmp_plr,0,0.1,,,,
satellite_mix,wpn_npc,0,0.1,,,,
satellite_mix,wpnmp_npc,0,0.1,,,,
satellite_mix,wpn_projectile,0,0.1,,,,
satellite_mix,wpnmp_projectile,0,0.1,,,,
satellite_mix,na,0,0.1,,,,
satellite_mix,max,0,0.1,,,,
satellite_mix,scripted1,0,0.1,,,,
satellite_mix,scripted2,0,0.1,,,,
satellite_mix,scripted3,0,0.1,,,,
satellite_mix,fullvolume,0,0.1,,,,
satellite_mix,default,0,0.1,,,,
satellite_mix,interface_music,0,0.1,,,,
helo_gunner_mix,ambience_dist,0,0.1,,,,
helo_gunner_mix,element,0,0.1,,,,
helo_gunner_mix,emitter,0,0.1,,,,
helo_gunner_mix,physics,0,0.1,,,,
helo_gunner_mix,bodyfall,0,0.1,,,,
helo_gunner_mix,foley_plr,0,0.1,,,,
helo_gunner_mix,foleymp_plr,0,0.1,,,,
helo_gunner_mix,foley_npc,0,0.1,,,,
helo_gunner_mix,foleymp_npc,0,0.1,,,,
helo_gunner_mix,foley_wpn_npc,0,0.1,,,,
helo_gunner_mix,footstep_plr,0,0.1,,,,
helo_gunner_mix,footstep_npc,0,0.1,,,,
helo_gunner_mix,footstepmp_plr,0,0.1,,,,
helo_gunner_mix,footstepmp_npc,0,0.1,,,,
helo_gunner_mix,melee_plr,0,0.1,,,,
helo_gunner_mix,melee_npc,0,0.1,,,,
helo_gunner_mix,chatteral,0,0.1,,,,
helo_gunner_mix,chatterax,0,0.1,,,,
helo_gunner_mix,reactional,0,0.1,,,,
helo_gunner_mix,reactionax,0,0.1,,,,
helo_gunner_mix,voiceover,0,0.1,,,,
helo_gunner_mix,voiceover_critical,0,0.1,,,,
helo_gunner_mix,voiceover_amb,0,0.1,,,,
helo_gunner_mix,destruct,0,0.1,,,,
helo_gunner_mix,rex_emitters,0,0.1,,,,
helo_gunner_mix,impact,0.43,1,,,,
helo_gunner_mix,impact_plr,0.43,1,,,,
helo_gunner_mix,impact_npc,0,0.1,,,,
helo_gunner_mix,impactmp,0,0.1,,,,
helo_gunner_mix,impactmp_plr,0,0.1,,,,
helo_gunner_mix,impactmp_npc,0,0.1,,,,
helo_gunner_mix,vehicle,0.43,1,,,,
helo_gunner_mix,grenadebounce,0,0.1,,,,
helo_gunner_mix,grenadebouncemp,0,0.1,,,,
helo_gunner_mix,shellcasings,0,0.1,,,,
helo_gunner_mix,shellcasingsmp,0,0.1,,,,
helo_gunner_mix,default,0,0.1,,,,
helo_gunner_mix,interface_music,0,0.1,,,,
heli_sniper_mix,ambience_dist,0.43,0.1,,,,
heli_sniper_mix,element,0.43,0.1,,,,
heli_sniper_mix,emitter,0,0.1,,,,
heli_sniper_mix,physics,0,0.1,,,,
heli_sniper_mix,bodyfall,0,0.1,,,,
heli_sniper_mix,foley_plr,0,0.1,,,,
heli_sniper_mix,foleymp_plr,0,0.1,,,,
heli_sniper_mix,foley_npc,0,0.1,,,,
heli_sniper_mix,foleymp_npc,0,0.1,,,,
heli_sniper_mix,foley_wpn_npc,0,0.1,,,,
heli_sniper_mix,footstep_plr,0,0.1,,,,
heli_sniper_mix,footstep_npc,0,0.1,,,,
heli_sniper_mix,footstepmp_plr,0,0.1,,,,
heli_sniper_mix,footstepmp_npc,0,0.1,,,,
heli_sniper_mix,melee_plr,0,0.1,,,,
heli_sniper_mix,melee_npc,0,0.1,,,,
heli_sniper_mix,chatteral,0.43,0.1,,,,
heli_sniper_mix,chatterax,0.43,0.1,,,,
heli_sniper_mix,reactional,0.43,0.1,,,,
heli_sniper_mix,reactionax,0.43,0.1,,,,
heli_sniper_mix,voiceover,0.43,0.1,,,,
heli_sniper_mix,voiceover_critical,0,0.1,,,,
