GeForce GT 6*,2,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.8,512000
GeForce 6*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 76*,4,0,1,2,1,0,1,1,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
GeForce GTX 77*,4,1,1,2,1,0,1,1,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
GeForce GTX 7*,4,1,1,2,1,0,1,1,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
GeForce GT 7*,2,0,0,1,0,0,1,1,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.8,512000
GeForce 7*,1,0,0,1,0,0,1,1,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX Titan,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radeon HD 5970,4,1,1,1,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Radeon HD 6990,4,1,1,1,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radeon HD 73*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
Radeon HD 74*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
Radeon HD 75*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
Radeon HD 76*,2,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.8,512000
Radeon HD 77*,3,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
Radeon HD 78*,4,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radeon HD 83*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
Radeon HD 84*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
Radeon HD 85*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
Radeon HD 86*,2,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.8,512000
Radeon HD 87*,3,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
Radeon HD 88*,4,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radeon HD 5*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,0,960,320,3,1,1,0,0,1,0,10,64,1,0,2,3,3,0,0,0.85,512000
Radeon HD 6*,2,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.8,512000
Radeon HD 7*,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Radeon HD 8*,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 5000,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Quadro 6000,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Quadro 7000,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Quadro K4000,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Quadro K5000,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
Quadro K6000,4,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,700000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce,3,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
Radeon,3,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
Quadro,3,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
*,3,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
